bundle_id,member_lexemes_fixed_expressions,surface_forms_by_language,semantic_function,introduction_lesson_id,prerequisite_bundle_ids,mode,associated_world_id,associated_point_id,permitted_use_after_introduction,status
LEX-P-CAU-002,"[""make + object + verb""]","{""en-US"":[""make + object + verb""]}",causative `make + object + verb`.,L100,"[""LEX-P-TNS-002"",""LEX-W-PHY-001""]",PRODUCTIVE,,P-CAU-002,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-CAU-003,"[""so"",""leads to/results in""]","{""en-US"":[""so"",""leads to/results in""]}",result/consequence with `so`; later `leads to/results in`.,L192,"[""LEX-W-ECO-002"",""LEX-P-CAU-001""]",PRODUCTIVE,,P-CAU-003,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-CAU-004,"[""cause"",""make"",""lead to"",""result in"",""because of/due to""]","{""en-US"":[""cause"",""make"",""lead to"",""result in"",""because of/due to""]}","explicit causal verbs `cause`, `make`, `lead to`, `result in`; noun cause with `because of/due to`.",L194,"[""LEX-P-CAU-002"",""LEX-W-PHY-007"",""LEX-P-CAU-003"",""LEX-P-CAU-001""]",PRODUCTIVE,,P-CAU-004,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-CERTAINTY-001,"[""certainly/probably/possibly""]","{""en-US"":[""certainly/probably/possibly""]}",certainty scale `certainly/probably/possibly`; general hedging.,L291,"[""LEX-P-MOD-004"",""LEX-W-EPI-008""]",PRODUCTIVE,,P-CERTAINTY-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-CF-001,"[""if...were..."",""would...""]","{""en-US"":[""if...were..."",""would...""]}","counterfactual `if...were..., would...`.",L289,"[""LEX-W-ENG-002"",""LEX-P-TNS-003"",""LEX-P-COND-002"",""LEX-P-COND-001""]",PRODUCTIVE,,P-CF-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-CHANGE-001,"[""become/turn into/begin as"",""changes over time""]","{""en-US"":[""become/turn into/begin as"",""changes over time""]}",`become/turn into/begin as`; `changes over time`.,L098,"[""LEX-P-TNS-002"",""LEX-W-MAT-004""]",PRODUCTIVE,,P-CHANGE-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-CHANGE-002,"[""still"",""no longer"",""has changed""]","{""en-US"":[""still"",""no longer"",""has changed""]}","continuity/change: `still`, `no longer`, present perfect `has changed`.",L155,"[""LEX-P-TNS-003"",""LEX-W-HIS-002""]",PRODUCTIVE,,P-CHANGE-002,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-CHOICE-001,"[""either...or"",""neither...nor""]","{""en-US"":[""either...or"",""neither...nor""]}","correlative choices `either...or`, `neither...nor`.",L198,"[""LEX-W-CIV-003"",""LEX-P-Q-002""]",PRODUCTIVE,,P-CHOICE-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-CLASS-001,"[""can be"",""is a kind of"",""belongs to"",""one of""]","{""en-US"":[""can be"",""is a kind of"",""belongs to"",""one of""]}","category frames `can be`, `is a kind of`, `belongs to`, `one of`.",L096,"[""LEX-P-ID-001"",""LEX-W-MAT-003""]",PRODUCTIVE,,P-CLASS-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-CMP-001,"[""more than/less than/equal to/as many as""]","{""en-US"":[""more than/less than/equal to/as many as""]}",`more than/less than/equal to/as many as`.,L046,"[""LEX-W-MATH-002"",""LEX-P-QNT-001""]",PRODUCTIVE,,P-CMP-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-CMP-002,"[""-er"",""than"",""as...as"",""-est""]","{""en-US"":[""-er"",""than"",""as...as"",""-est""]}","comparative/superlative family: `-er`, `than`, `as...as`, `-est`; comparative adverbs.",L073,"[""LEX-P-CMP-001"",""LEX-W-MATH-009"",""LEX-P-DESC-001""]",PRODUCTIVE,,P-CMP-002,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-COM-001,"[""send X to Y"",""receive X from Y""]","{""en-US"":[""send X to Y"",""receive X from Y""]}","Transfer roles: `send X to Y`, `receive X from Y`.",L030,"[""LEX-P-ID-001"",""LEX-W-COM-001""]",PRODUCTIVE,,P-COM-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-COM-002,"[""say/tell""]","{""en-US"":[""say/tell""]}",Source-report frames with `say/tell`.,L209,"[""LEX-W-EPI-003"",""LEX-P-ID-001"",""LEX-P-COM-001""]",PRODUCTIVE,,P-COM-002,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-COMP-001,"[""takes X and produces Y"",""stored in/on"",""connected to/through""]","{""en-US"":[""takes X and produces Y"",""stored in/on"",""connected to/through""]}","computation/system frames: `takes X and produces Y`, `stored in/on`, `connected to/through`.",L162,"[""LEX-W-COMP-003"",""LEX-P-SPAT-001"",""LEX-P-COM-001""]",PRODUCTIVE,,P-COMP-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-COND-001,"[""when"",""if...then""]","{""en-US"":[""when"",""if...then""]}",general/real `when` and `if...then`.,L193,"[""LEX-P-TNS-002"",""LEX-P-CAU-001"",""LEX-W-PHY-008""]",PRODUCTIVE,,P-COND-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-COND-002,"[""if...else/otherwise"",""if X doesn't..."",""try...""]","{""en-US"":[""if...else/otherwise"",""if X doesn't..."",""try...""]}","branching `if...else/otherwise`; troubleshooting `if X doesn't..., try...`.",L204,"[""LEX-P-NEG-001"",""LEX-W-COMP-007"",""LEX-P-COND-001""]",PRODUCTIVE,,P-COND-002,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-CONTR-001,"[""while/whereas/although/even though/however""]","{""en-US"":[""while/whereas/although/even though/however""]}",`while/whereas/although/even though/however` as graded contrast relations.,L245,"[""LEX-P-DISC-001"",""LEX-W-BIO-011""]",PRODUCTIVE,,P-CONTR-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-CORREL-001,"[""as X increases..."",""Y..."",""the more...""]","{""en-US"":[""as X increases..."",""Y..."",""the more...""]}","correlated change: `as X increases..., Y...`; `the more..., the more...`.",L258,"[""LEX-P-CMP-002"",""LEX-W-AST-002"",""LEX-P-CAU-001""]",PRODUCTIVE,,P-CORREL-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-DATA-001,"[""shows that"",""compared with""]","{""en-US"":[""shows that"",""compared with""]}","`shows that`, `compared with`.",L275,"[""LEX-P-CMP-001"",""LEX-P-EPI-003"",""LEX-W-DATA-001""]",PRODUCTIVE,,P-DATA-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-DECOMP-001,"[""break down into""]","{""en-US"":[""break down into""]}",`break down into`.,L249,"[""LEX-W-BIO-014"",""LEX-P-PART-001"",""LEX-P-CHANGE-001""]",PRODUCTIVE,,P-DECOMP-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-DEF-001,"[""A X is a Y that..."",""means/refers to""]","{""en-US"":[""A X is a Y that..."",""means/refers to""]}",definitions: `A X is a Y that...`; `means/refers to`.,L236,"[""LEX-P-CLASS-001"",""LEX-W-BIO-004""]",PRODUCTIVE,,P-DEF-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-DEP-001,"[""depend on"",""interacts with"",""affects""]","{""en-US"":[""depend on"",""interacts with"",""affects""]}","`depend on`, `interacts with`, `affects`.",L247,"[""LEX-W-BIO-012"",""LEX-P-CAU-001""]",PRODUCTIVE,,P-DEP-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-DESC-001,"[""be + adjective""]","{""en-US"":[""be + adjective""]}",adjective+noun and `be + adjective`.,L013,"[""LEX-W-OBJ-003"",""LEX-P-ID-001"",""LEX-P-DET-002""]",PRODUCTIVE,,P-DESC-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-DET-001,"[""a/an""]","{""en-US"":[""a/an""]}",Indefinite `a/an`.,L002,"[""LEX-P-ID-001"",""LEX-W-ONT-001""]",PRODUCTIVE,,P-DET-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-DET-002,"[""the""]","{""en-US"":[""the""]}",Definite `the` for identifiable referent.,L004,"[""LEX-P-DET-001"",""LEX-W-OBJ-001""]",PRODUCTIVE,,P-DET-002,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-DET-003,"[""this/that/these/those""]","{""en-US"":[""this/that/these/those""]}",`this/that/these/those`.,L007,"[""LEX-P-DET-002"",""LEX-P-DET-001"",""LEX-W-OBJ-001""]",PRODUCTIVE,,P-DET-003,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-DISC-001,"[""but""]","{""en-US"":[""but""]}",Agreement/disagreement and simple contrast with `but`.,L187,"[""LEX-W-SOC-004"",""LEX-P-ID-001""]",PRODUCTIVE,,P-DISC-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-EPI-001,"[""know/don't know""]","{""en-US"":[""know/don't know""]}",`know/don't know`; knowledge questions.,L184,"[""LEX-P-ID-001"",""LEX-W-EPI-001""]",PRODUCTIVE,,P-EPI-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-EPI-002,"[""actually"",""I mean"",""I was wrong""]","{""en-US"":[""actually"",""I mean"",""I was wrong""]}","Correction/reformulation: `actually`, `I mean`, fixed `I was wrong`.",L223,"[""LEX-W-EPI-002"",""LEX-P-EPI-001""]",PRODUCTIVE,,P-EPI-002,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-EPI-003,"[""I see/observe X"",""I think/infer Y""]","{""en-US"":[""I see/observe X"",""I think/infer Y""]}",observation/inference report: `I see/observe X`; `I think/infer Y`.,L273,"[""LEX-P-EPI-001"",""LEX-W-EPI-004""]",PRODUCTIVE,,P-EPI-003,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-EVID-001,"[""claim"",""evidence"",""explanation""]","{""en-US"":[""claim"",""evidence"",""explanation""]}",claim/evidence explanation.,L277,"[""LEX-W-EPI-007"",""LEX-P-SRC-001"",""LEX-P-CAU-001""]",PRODUCTIVE,,P-EVID-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-EXCH-001,"[""buy from/sell to/pay for/exchange X for Y""]","{""en-US"":[""buy from/sell to/pay for/exchange X for Y""]}",`buy from/sell to/pay for/exchange X for Y`.,L151,"[""LEX-W-ECO-007"",""LEX-P-COM-001""]",PRODUCTIVE,,P-EXCH-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-EXIST-001,"[""there is/there are""]","{""en-US"":[""there is/there are""]}",`there is/there are`.,L009,"[""LEX-P-DET-002"",""LEX-P-NUM-001"",""LEX-W-OBJ-001""]",PRODUCTIVE,,P-EXIST-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-FIG-001,"[""literal"",""nonliteral"",""simile"",""metaphor""]","{""en-US"":[""literal"",""nonliteral"",""simile"",""metaphor""]}","literal/nonliteral, simile, metaphor.",L285,"[""LEX-W-LIT-003"",""LEX-P-REP-001"",""LEX-W-ART-001"",""LEX-P-LEX-001""]",PRODUCTIVE,,P-FIG-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-FLOW-001,"[""flows/carries X from Y through/to Z""]","{""en-US"":[""flows/carries X from Y through/to Z""]}",path/transfer `flows/carries X from Y through/to Z`.,L131,"[""LEX-W-GEO-003"",""LEX-P-PATH-001"",""LEX-P-COM-001""]",PRODUCTIVE,,P-FLOW-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-FRAC-001,"[""whole/half/quarter/part of""]","{""en-US"":[""whole/half/quarter/part of""]}",`whole/half/quarter/part of`.,L122,"[""LEX-P-QNT-001"",""LEX-P-PART-001"",""LEX-W-MATH-011""]",PRODUCTIVE,,P-FRAC-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-FREQ-001,"[""always/usually/often/sometimes/never""]","{""en-US"":[""always/usually/often/sometimes/never""]}",`always/usually/often/sometimes/never`.,L019,"[""LEX-W-EVT-001"",""LEX-P-TNS-002""]",PRODUCTIVE,,P-FREQ-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-FUNC-001,"[""used to + verb"",""used for + -ing""]","{""en-US"":[""used to + verb"",""used for + -ing""]}",`used to + verb` / `used for + -ing`.,L037,"[""LEX-P-INST-001"",""LEX-W-TEC-002""]",PRODUCTIVE,,P-FUNC-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-FUNC-002,"[""helps X (to)..."",""helps X by -ing"",""allows/enables""]","{""en-US"":[""helps X (to)..."",""helps X by -ing"",""allows/enables""]}","structure/function: `helps X (to)...`, `helps X by -ing`, `allows/enables`.",L103,"[""LEX-W-PHY-003"",""LEX-P-FUNC-001""]",PRODUCTIVE,,P-FUNC-002,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-GEN-001,"[""usually"",""generally"",""often"",""tends to""]","{""en-US"":[""usually"",""generally"",""often"",""tends to""]}","nonabsolute generalization/hedging: `usually`, `generally`, `often`, `tends to`.",L114,"[""LEX-W-EAR-002"",""LEX-P-FREQ-001""]",PRODUCTIVE,,P-GEN-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-GEO-001,"[""between"",""...of"",""located at/in/on"",""near/far""]","{""en-US"":[""between"",""...of"",""located at/in/on"",""near/far""]}","geographic/location frames: `between`, cardinal `...of`, `located at/in/on`, `near/far`.",L135,"[""LEX-W-GEO-002"",""LEX-W-GEO-004"",""LEX-P-SPAT-001""]",PRODUCTIVE,,P-GEO-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-GER-001,"[""gerunds"",""noun-like"",""activity"",""expressions""]","{""en-US"":[""gerunds"",""noun-like"",""activity"",""expressions""]}",gerunds as noun-like activity expressions.,L220,"[""LEX-W-EVT-001"",""LEX-P-ASP-001""]",PRODUCTIVE,,P-GER-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-HABPAST-001,"[""used to""]","{""en-US"":[""used to""]}",past habitual `used to`.,L153,"[""LEX-P-TNS-003"",""LEX-P-TNS-002"",""LEX-W-HIS-001""]",PRODUCTIVE,,P-HABPAST-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-ID-001,"[""I'm Ninereeds."",""Yes, I'm Ninereeds."",""No, I'm not Errol. I'm Ninereeds.""]","{""en-US"":[""I'm Ninereeds."",""Yes, I'm Ninereeds."",""No, I'm not Errol. I'm Ninereeds.""]}","Identity/self-introduction with copular affirmative/negative: `I am`, `X is/isn't`.",L000,[],PRODUCTIVE,,P-ID-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-IMP-001,"[""imperative"",""instructions""]","{""en-US"":[""imperative"",""instructions""]}",imperative instructions.,L022,"[""LEX-W-EVT-002"",""LEX-P-ASP-001""]",PRODUCTIVE,,P-IMP-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-INST-001,"[""with""]","{""en-US"":[""with""]}",`with` as instrument.,L036,"[""LEX-P-DET-002"",""LEX-W-TEC-002""]",PRODUCTIVE,,P-INST-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-INSTR-001,"[""tell/instruct X to + verb""]","{""en-US"":[""tell/instruct X to + verb""]}",`tell/instruct X to + verb`.,L210,"[""LEX-P-IMP-001"",""LEX-W-COMP-008"",""LEX-P-COM-002""]",PRODUCTIVE,,P-INSTR-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-LEX-001,"[""synonyms"",""antonyms"",""shades"",""context-selected"",""multiple"",""meanings""]","{""en-US"":[""synonyms"",""antonyms"",""shades"",""context-selected"",""multiple"",""meanings""]}","synonyms, antonyms, shades, context-selected multiple meanings.",L284,"[""LEX-W-EPI-009"",""LEX-P-DESC-001""]",PRODUCTIVE,,P-LEX-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-LIT-001,"[""story"",""questions"",""terms"",""character"",""setting"",""event"",""narrative"",""sequence""]","{""en-US"":[""story"",""questions"",""terms"",""character"",""setting"",""event"",""narrative"",""sequence""]}","story questions/terms: character, setting, event; narrative sequence.",L173,"[""LEX-P-Q-001"",""LEX-P-SEQ-001"",""LEX-P-Q-003"",""LEX-W-LIT-001""]",PRODUCTIVE,,P-LIT-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-MAT-001,"[""made of"",""made from""]","{""en-US"":[""made of"",""made from""]}",`made of` vs `made from`; material-property opposites.,L123,"[""LEX-W-MAT-002"",""LEX-W-MAT-001"",""LEX-P-DESC-001"",""LEX-P-PART-001""]",PRODUCTIVE,,P-MAT-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-MATH-001,"[""plus"",""in all"",""take away"",""left""]","{""en-US"":[""plus"",""in all"",""take away"",""left""]}","addition/subtraction language: `plus`, `in all`, `take away`, `left`.",L064,"[""LEX-W-MATH-004"",""LEX-P-QNT-001"",""LEX-W-MATH-003""]",PRODUCTIVE,,P-MATH-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-MEAS-001,"[""X is N units..."",""degrees"",""cost/how much"",""enough/too""]","{""en-US"":[""X is N units..."",""degrees"",""cost/how much"",""enough/too""]}","measurement/price frames: `X is N units...`, `degrees`, `cost/how much`, `enough/too`.",L075,"[""LEX-P-CMP-001"",""LEX-W-MATH-009"",""LEX-P-QNT-001"",""LEX-W-MATH-010""]",PRODUCTIVE,,P-MEAS-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-META-001,"[""In language X"",""Y means...""]","{""en-US"":[""In language X"",""Y means...""]}","metalinguistic `In language X, Y means...`.",L271,"[""LEX-W-CUL-002"",""LEX-P-DEF-001""]",PRODUCTIVE,,P-META-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-MOD-001,"[""can""]","{""en-US"":[""can""]}",`can` for ability/perception.,L226,"[""LEX-P-TNS-002"",""LEX-W-BODY-002""]",PRODUCTIVE,,P-MOD-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-MOD-002,"[""should/shouldn't""]","{""en-US"":[""should/shouldn't""]}",`should/shouldn't` advice.,L229,"[""LEX-P-TNS-002"",""LEX-W-BODY-004""]",PRODUCTIVE,,P-MOD-002,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-MOD-003,"[""must/mustn't"",""have to""]","{""en-US"":[""must/mustn't"",""have to""]}","`must/mustn't`, `have to`, prohibitions.",L190,"[""LEX-P-TNS-002"",""LEX-W-CIV-001""]",PRODUCTIVE,,P-MOD-003,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-MOD-004,"[""may/can"",""may/might/could""]","{""en-US"":[""may/can"",""may/might/could""]}","`may/can` permission and `may/might/could` possibility, taught as distinct subuses.",L262,"[""LEX-W-HAZ-001"",""LEX-P-MOD-001""]",PRODUCTIVE,,P-MOD-004,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-MODEL-001,"[""represents X but does not include every...""]","{""en-US"":[""represents X but does not include every...""]}",limitation frame: `represents X but does not include every...`.,L269,"[""LEX-P-DISC-001"",""LEX-P-REP-001"",""LEX-W-REP-004""]",PRODUCTIVE,,P-MODEL-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-MORPH-001,"[""derivational"",""morphology"",""prefixes"",""suffixes"",""compounds"",""selected"",""roots""]","{""en-US"":[""derivational"",""morphology"",""prefixes"",""suffixes"",""compounds"",""selected"",""roots""]}","derivational morphology: common prefixes, suffixes, compounds, selected roots.",L283,"[""LEX-P-CLASS-001"",""LEX-P-DESC-001"",""LEX-W-CUL-002"",""LEX-W-EPI-009"",""LEX-P-DEF-001""]",PRODUCTIVE,,P-MORPH-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-NEED-001,"[""need"",""want""]","{""en-US"":[""need"",""want""]}",`need` vs `want` predicates.,L058,"[""LEX-P-TNS-002"",""LEX-W-PSY-001""]",PRODUCTIVE,,P-NEED-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-NEG-001,"[""do/does not""]","{""en-US"":[""do/does not""]}",general present negation `do/does not`.,L017,"[""LEX-W-EVT-001"",""LEX-P-TNS-002""]",PRODUCTIVE,,P-NEG-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-NOUN-001,"[""count"",""noncount"",""distinction""]","{""en-US"":[""count"",""noncount"",""distinction""]}",count/noncount distinction.,L092,"[""LEX-W-MAT-001"",""LEX-P-NUM-001""]",PRODUCTIVE,,P-NOUN-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-NUM-001,"[""-s/-es""]","{""en-US"":[""-s/-es""]}",Regular plurals `-s/-es`.,L005,"[""LEX-P-DET-001"",""LEX-W-OBJ-001""]",PRODUCTIVE,,P-NUM-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-ORD-001,"[""ordinal"",""forms""]","{""en-US"":[""ordinal"",""forms""]}",ordinal forms.,L068,"[""LEX-P-SEQ-001"",""LEX-P-QNT-001"",""LEX-W-MATH-006""]",PRODUCTIVE,,P-ORD-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-PART-001,"[""has"",""part of"",""contains/consists of""]","{""en-US"":[""has"",""part of"",""contains/consists of""]}","part-whole frames `has`, `part of`, `contains/consists of`.",L121,"[""LEX-W-BODY-001"",""LEX-P-POSS-001""]",PRODUCTIVE,,P-PART-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
LEX-P-PARTIC-001,"[""participial"",""modifiers""]","{""en-US"":[""participial"",""modifiers""]}",participial modifiers.,L221,"[""LEX-P-PASS-001"",""LEX-W-MAT-004"",""LEX-P-ASP-001""]",PRODUCTIVE,,P-PARTIC-001,"[""presentation"",""practice"",""feedback"",""story"",""evaluation"",""transfer""]",ACTIVE
