point_id,form_function,contrasts_confusions,point_prerequisites,world_prerequisites,anchor_domains,transfer_domains,provenance,status,frontier_lexeme_bundle_id,acquisition_lesson_id,required_lexeme_bundle_ids,required_response_forms,associated_response_forms,associated_discourse_operations
P-CAU-004,"explicit causal verbs `cause`, `make`, `lead to`, `result in`; noun cause with `because of/due to`.",mechanism vs correlation,"[""P-CAU-001"",""P-CAU-002"",""P-CAU-003""]","[""W-PHY-007""]","[""sound""]","[""ecology/systems/academic prose""]","[""C090"",""C231"",""C232""]",ACTIVE,LEX-P-CAU-004,L194,"[""LEX-W-PHY-007"",""LEX-P-CAU-001"",""LEX-P-CAU-002"",""LEX-P-CAU-003""]","[""RF-REASON""]",[],"[""DO-EXPLAIN-REASON""]"
P-CERTAINTY-001,certainty scale `certainly/probably/possibly`; general hedging.,probability/frequency/certainty are distinct,"[""P-MOD-004""]","[""W-EPI-008""]","[""predictions""]","[""evidence""]","[""C236"",""C237""]",ACTIVE,LEX-P-CERTAINTY-001,L291,"[""LEX-W-EPI-008"",""LEX-P-MOD-004""]",[],"[""RF-UNCERTAINTY""]",[]
P-CF-001,"counterfactual `if...were..., would...`.",real vs counterfactual condition,"[""P-COND-001"",""P-COND-002"",""P-TNS-003""]","[""W-ENG-002""]","[""engineering hypotheticals""]","[""reasoning""]","[""C223""]",ACTIVE,LEX-P-CF-001,L289,"[""LEX-W-ENG-002"",""LEX-P-COND-001"",""LEX-P-COND-002"",""LEX-P-TNS-003""]",[],[],[]
P-CHANGE-001,`become/turn into/begin as`; `changes over time`.,state change vs movement,"[""P-TNS-002""]","[""W-MAT-004""]","[""matter/life cycles""]","[""history""]","[""C081"",""C116"",""C138""]",ACTIVE,LEX-P-CHANGE-001,L098,"[""LEX-W-MAT-004"",""LEX-P-TNS-002""]",[],[],[]
P-CHANGE-002,"continuity/change: `still`, `no longer`, present perfect `has changed`.",state persistence vs completed past,"[""P-TNS-003""]","[""W-HIS-002""]","[""history/technology""]","[""projects""]","[""C162"",""C163"",""C212""]",ACTIVE,LEX-P-CHANGE-002,L155,"[""LEX-W-HIS-002"",""LEX-P-TNS-003""]",[],[],[]
P-CHOICE-001,"correlative choices `either...or`, `neither...nor`.",one/both/neither interpretation,"[""P-Q-002""]","[""W-CIV-003""]","[""group choice""]","[""formal logic""]","[""C150"",""C214"",""C215""]",ACTIVE,LEX-P-CHOICE-001,L198,"[""LEX-W-CIV-003"",""LEX-P-Q-002""]","[""RF-OR-IDENTITY""]",[],[]
P-CLASS-001,"category frames `can be`, `is a kind of`, `belongs to`, `one of`.",class membership vs part-whole,"[""P-ID-001""]","[""W-MAT-003""]","[""matter""]","[""organisms/social groups""]","[""C080"",""C132"",""C144"",""C198""]",ACTIVE,LEX-P-CLASS-001,L096,"[""LEX-W-MAT-003"",""LEX-P-ID-001""]","[""RF-AFFIRM-IDENTITY"",""RF-NEGATE-IDENTITY""]",[],"[""DO-CLASSIFY""]"
P-CMP-001,`more than/less than/equal to/as many as`.,quantity vs adjective comparison,"[""P-QNT-001""]","[""W-MATH-002""]","[""collections""]","[""measurement/data""]","[""C055""]",ACTIVE,LEX-P-CMP-001,L046,"[""LEX-W-MATH-002"",""LEX-P-QNT-001""]",[],[],"[""DO-COMPARE""]"
P-CMP-002,"comparative/superlative family: `-er`, `than`, `as...as`, `-est`; comparative adverbs.",equality vs inequality; adjective vs adverb,"[""P-CMP-001"",""P-DESC-001""]","[""W-MATH-009""]","[""size""]","[""measurement/speed/sound""]","[""C062"",""C063"",""C064"",""C065"",""C085"",""C187""]",ACTIVE,LEX-P-CMP-002,L073,"[""LEX-W-MATH-009"",""LEX-P-CMP-001"",""LEX-P-DESC-001""]",[],[],"[""DO-COMPARE""]"
P-COM-001,"Transfer roles: `send X to Y`, `receive X from Y`.",theme vs source vs recipient,"[""P-ID-001""]","[""W-COM-001""]","[""messages""]","[""files/goods/resources""]","[""C165""]",ACTIVE,LEX-P-COM-001,L030,"[""LEX-W-COM-001"",""LEX-P-ID-001""]","[""RF-AFFIRM-IDENTITY"",""RF-NEGATE-IDENTITY""]",[],[]
P-COM-002,Source-report frames with `say/tell`.,say content vs tell recipient,"[""P-COM-001"",""P-ID-001""]","[""W-EPI-003""]","[""conversations""]","[""stories/provenance""]","[""C183""]",ACTIVE,LEX-P-COM-002,L209,"[""LEX-W-EPI-003"",""LEX-P-COM-001"",""LEX-P-ID-001""]","[""RF-AFFIRM-IDENTITY"",""RF-NEGATE-IDENTITY""]",[],"[""DO-ATTRIBUTE-SOURCE""]"
P-COMP-001,"computation/system frames: `takes X and produces Y`, `stored in/on`, `connected to/through`.",transformation vs transfer vs containment,"[""P-COM-001"",""P-SPAT-001""]","[""W-COMP-003""]","[""input/output""]","[""storage/networks""]","[""C168"",""C169"",""C170""]",ACTIVE,LEX-P-COMP-001,L162,"[""LEX-W-COMP-003"",""LEX-P-COM-001"",""LEX-P-SPAT-001""]",[],[],[]
P-COND-001,general/real `when` and `if...then`.,regular relation vs contingent condition,"[""P-CAU-001"",""P-TNS-002""]","[""W-PHY-008""]","[""heating""]","[""circuits/engineering""]","[""C082"",""C091"",""C095""]",ACTIVE,LEX-P-COND-001,L193,"[""LEX-W-PHY-008"",""LEX-P-CAU-001"",""LEX-P-TNS-002""]","[""RF-REASON""]",[],[]
P-COND-002,"branching `if...else/otherwise`; troubleshooting `if X doesn't..., try...`.",condition vs temporal sequence,"[""P-COND-001"",""P-NEG-001""]","[""W-COMP-007""]","[""algorithm""]","[""debugging""]","[""C172"",""C177""]",ACTIVE,LEX-P-COND-002,L204,"[""LEX-W-COMP-007"",""LEX-P-COND-001"",""LEX-P-NEG-001""]",[],[],[]
P-CONTR-001,`while/whereas/although/even though/however` as graded contrast relations.,coordination vs concession,"[""P-DISC-001""]","[""W-BIO-011""]","[""biology""]","[""explanations/academic prose""]","[""C119"",""C135"",""C225"",""C226"",""C233""]",ACTIVE,LEX-P-CONTR-001,L245,"[""LEX-W-BIO-011"",""LEX-P-DISC-001""]","[""RF-AGREE-DISAGREE""]",[],[]
P-CORREL-001,"correlated change: `as X increases..., Y...`; `the more..., the more...`.",correlation must not automatically be taught as cause,"[""P-CMP-002"",""P-CAU-001""]","[""W-AST-002""]","[""shadow/data""]","[""systems""]","[""C137"",""C175"",""C229"",""C230""]",ACTIVE,LEX-P-CORREL-001,L258,"[""LEX-W-AST-002"",""LEX-P-CMP-002"",""LEX-P-CAU-001""]","[""RF-REASON""]",[],[]
P-DATA-001,"`shows that`, `compared with`.",display vs proof,"[""P-CMP-001"",""P-EPI-003""]","[""W-DATA-001""]","[""charts""]","[""evidence""]","[""C174""]",ACTIVE,LEX-P-DATA-001,L275,"[""LEX-W-DATA-001"",""LEX-P-CMP-001"",""LEX-P-EPI-003""]",[],[],[]
P-DECOMP-001,`break down into`.,decomposition vs state change,"[""P-CHANGE-001"",""P-PART-001""]","[""W-BIO-014""]","[""decomposition""]","[""materials/data structures""]","[""C122""]",ACTIVE,LEX-P-DECOMP-001,L249,"[""LEX-W-BIO-014"",""LEX-P-CHANGE-001"",""LEX-P-PART-001""]",[],[],[]
P-DEF-001,definitions: `A X is a Y that...`; `means/refers to`.,definition vs example,"[""P-CLASS-001""]","[""W-BIO-004""]","[""animals""]","[""reference/technical terms""]","[""C108"",""C197""]",ACTIVE,LEX-P-DEF-001,L236,"[""LEX-W-BIO-004"",""LEX-P-CLASS-001""]",[],[],"[""DO-CLASSIFY""]"
P-DEP-001,"`depend on`, `interacts with`, `affects`.",dependency vs simple causation,"[""P-CAU-001""]","[""W-BIO-012""]","[""ecosystems""]","[""Earth/systems""]","[""C120"",""C141""]",ACTIVE,LEX-P-DEP-001,L247,"[""LEX-W-BIO-012"",""LEX-P-CAU-001""]","[""RF-REASON""]",[],[]
P-DESC-001,adjective+noun and `be + adjective`.,property vs identity,"[""P-ID-001"",""P-DET-002""]","[""W-OBJ-003""]","[""visible properties""]","[""materials/states""]","[""C010""]",ACTIVE,LEX-P-DESC-001,L013,"[""LEX-W-OBJ-003"",""LEX-P-ID-001"",""LEX-P-DET-002""]","[""RF-AFFIRM-IDENTITY"",""RF-NEGATE-IDENTITY""]",[],[]
P-DET-001,Indefinite `a/an`.,new/nonidentified vs identifiable referent,"[""P-ID-001""]","[""W-ONT-001""]","[""mind/person/device""]","[""occupations/categories""]","[""C003""]",ACTIVE,LEX-P-DET-001,L002,"[""LEX-W-ONT-001"",""LEX-P-ID-001""]","[""RF-AFFIRM-IDENTITY"",""RF-NEGATE-IDENTITY""]",[],[]
P-DET-002,Definite `the` for identifiable referent.,`a` vs `the`,"[""P-DET-001""]","[""W-OBJ-001""]","[""Errol's phone""]","[""rooms/maps/systems""]","[""C004""]",ACTIVE,LEX-P-DET-002,L004,"[""LEX-W-OBJ-001"",""LEX-P-DET-001""]",[],[],[]
P-DET-003,`this/that/these/those`.,distance + number,"[""P-DET-001"",""P-DET-002""]","[""W-OBJ-001""]","[""icons/devices""]","[""objects/maps/data""]","[""C006""]",ACTIVE,LEX-P-DET-003,L007,"[""LEX-W-OBJ-001"",""LEX-P-DET-001"",""LEX-P-DET-002""]",[],[],[]
P-DISC-001,Agreement/disagreement and simple contrast with `but`.,disagreement ≠ negation,"[""P-ID-001""]","[""W-SOC-004""]","[""plans/preferences""]","[""scientific contrasts""]","[""C052"",""SYN""]",ACTIVE,LEX-P-DISC-001,L187,"[""LEX-W-SOC-004"",""LEX-P-ID-001""]","[""RF-AFFIRM-IDENTITY"",""RF-NEGATE-IDENTITY""]","[""RF-AGREE-DISAGREE""]","[""DO-AGREE-DISAGREE""]"
P-EPI-001,`know/don't know`; knowledge questions.,know vs think/believe,"[""P-ID-001""]","[""W-EPI-001""]","[""people""]","[""sources/science""]","[""C193"",""SYN""]",ACTIVE,LEX-P-EPI-001,L184,"[""LEX-W-EPI-001"",""LEX-P-ID-001""]","[""RF-AFFIRM-IDENTITY"",""RF-NEGATE-IDENTITY""]","[""RF-KNOW-UNKNOWN""]",[]
P-EPI-002,"Correction/reformulation: `actually`, `I mean`, fixed `I was wrong`.",correcting fact vs changing topic,"[""P-EPI-001""]","[""W-EPI-002""]","[""social errors""]","[""academic revision""]","[""C239"",""SYN""]",ACTIVE,LEX-P-EPI-002,L223,"[""LEX-W-EPI-002"",""LEX-P-EPI-001""]","[""RF-KNOW-UNKNOWN""]","[""RF-CORRECTION""]","[""DO-CORRECT""]"
P-EPI-003,observation/inference report: `I see/observe X`; `I think/infer Y`.,observation vs interpretation,"[""P-EPI-001""]","[""W-EPI-004""]","[""visible scene""]","[""scientific evidence""]","[""C194""]",ACTIVE,LEX-P-EPI-003,L273,"[""LEX-W-EPI-004"",""LEX-P-EPI-001""]","[""RF-KNOW-UNKNOWN""]",[],"[""DO-INFER""]"
P-EVID-001,claim/evidence explanation.,evidence vs explanation vs source,"[""P-CAU-001"",""P-SRC-001""]","[""W-EPI-007""]","[""observation""]","[""academic reasoning""]","[""C195""]",ACTIVE,LEX-P-EVID-001,L277,"[""LEX-W-EPI-007"",""LEX-P-CAU-001"",""LEX-P-SRC-001""]","[""RF-REASON"",""RF-SOURCE""]","[""RF-EVIDENCE""]","[""DO-SUPPORT-CLAIM""]"
P-EXCH-001,`buy from/sell to/pay for/exchange X for Y`.,direction of transfer,"[""P-COM-001""]","[""W-ECO-007""]","[""store""]","[""trade/economics""]","[""C157"",""C160""]",ACTIVE,LEX-P-EXCH-001,L151,"[""LEX-W-ECO-007"",""LEX-P-COM-001""]",[],[],[]
P-EXIST-001,`there is/there are`.,existential `there` vs location `there`,"[""P-DET-002"",""P-NUM-001""]","[""W-OBJ-001""]","[""rooms""]","[""maps/ecosystems""]","[""C011""]",ACTIVE,LEX-P-EXIST-001,L009,"[""LEX-W-OBJ-001"",""LEX-P-DET-002"",""LEX-P-NUM-001""]",[],[],[]
P-FIG-001,"literal/nonliteral, simile, metaphor.",figurative resemblance vs literal identity,"[""P-LEX-001"",""P-REP-001""]","[""W-LIT-003"",""W-ART-001""]","[""conventional idiom""]","[""literature""]","[""C208"",""C209""]",ACTIVE,LEX-P-FIG-001,L285,"[""LEX-W-LIT-003"",""LEX-W-ART-001"",""LEX-P-LEX-001"",""LEX-P-REP-001""]",[],[],[]
P-FLOW-001,path/transfer `flows/carries X from Y through/to Z`.,moving agent/theme roles,"[""P-PATH-001"",""P-COM-001""]","[""W-GEO-003""]","[""rivers""]","[""circulation/supply chains""]","[""C101"",""C124"",""C156""]",ACTIVE,LEX-P-FLOW-001,L131,"[""LEX-W-GEO-003"",""LEX-P-PATH-001"",""LEX-P-COM-001""]",[],[],[]
P-FRAC-001,`whole/half/quarter/part of`.,part-whole vs ownership,"[""P-PART-001"",""P-QNT-001""]","[""W-MATH-011""]","[""visual wholes""]","[""measurement""]","[""C076""]",ACTIVE,LEX-P-FRAC-001,L122,"[""LEX-W-MATH-011"",""LEX-P-PART-001"",""LEX-P-QNT-001""]",[],[],[]
P-FREQ-001,`always/usually/often/sometimes/never`.,frequency ≠ certainty,"[""P-TNS-002""]","[""W-EVT-001""]","[""routine""]","[""weather/cultural generalization""]","[""C028""]",ACTIVE,LEX-P-FREQ-001,L019,"[""LEX-W-EVT-001"",""LEX-P-TNS-002""]",[],[],[]
P-FUNC-001,`used to + verb` / `used for + -ing`.,purpose vs habitual `used to`,"[""P-INST-001""]","[""W-TEC-002""]","[""tools""]","[""machines/technology""]","[""C019""]",ACTIVE,LEX-P-FUNC-001,L037,"[""LEX-W-TEC-002"",""LEX-P-INST-001""]",[],[],[]
P-FUNC-002,"structure/function: `helps X (to)...`, `helps X by -ing`, `allows/enables`.",purpose vs causal guarantee,"[""P-FUNC-001""]","[""W-PHY-003""]","[""machines""]","[""biology/body systems""]","[""C086"",""C112"",""C126""]",ACTIVE,LEX-P-FUNC-002,L103,"[""LEX-W-PHY-003"",""LEX-P-FUNC-001""]",[],[],[]
P-GEN-001,"nonabsolute generalization/hedging: `usually`, `generally`, `often`, `tends to`.",frequency vs epistemic certainty,"[""P-FREQ-001""]","[""W-EAR-002""]","[""weather""]","[""culture/science""]","[""C097"",""C188"",""C236""]",ACTIVE,LEX-P-GEN-001,L114,"[""LEX-W-EAR-002"",""LEX-P-FREQ-001""]",[],[],[]
P-GEO-001,"geographic/location frames: `between`, cardinal `...of`, `located at/in/on`, `near/far`.",static location vs route,"[""P-SPAT-001""]","[""W-GEO-002"",""W-GEO-004""]","[""maps""]","[""geography/institutions""]","[""C100"",""C129"",""C130"",""C134"",""C147""]",ACTIVE,LEX-P-GEO-001,L135,"[""LEX-W-GEO-002"",""LEX-W-GEO-004"",""LEX-P-SPAT-001""]",[],[],[]
P-GER-001,gerunds as noun-like activity expressions.,progressive `-ing` vs gerund,"[""P-ASP-001""]","[""W-EVT-001""]","[""familiar activities""]","[""academic concepts""]","[""C216""]",ACTIVE,LEX-P-GER-001,L220,"[""LEX-W-EVT-001"",""LEX-P-ASP-001""]",[],[],[]
P-HABPAST-001,past habitual `used to`.,used to habit vs used to purpose,"[""P-TNS-003"",""P-TNS-002""]","[""W-HIS-001""]","[""past daily life""]","[""technology change""]","[""C161""]",ACTIVE,LEX-P-HABPAST-001,L153,"[""LEX-W-HIS-001"",""LEX-P-TNS-003"",""LEX-P-TNS-002""]",[],[],[]
P-ID-001,"Identity/self-introduction with copular affirmative/negative: `I am`, `X is/isn't`.",identity ≠ possession/property,[],[],"[""bootstrap""]","[""ontology/classification""]","[""C002"",""C024"",""SYN""]",ACTIVE,LEX-P-ID-001,L000,[],[],"[""RF-AFFIRM-IDENTITY"",""RF-NEGATE-IDENTITY""]","[""DO-IDENTIFY""]"
P-IMP-001,imperative instructions.,instruction vs description,"[""P-ASP-001""]","[""W-EVT-002""]","[""tasks""]","[""safety/programming""]","[""C031""]",ACTIVE,LEX-P-IMP-001,L022,"[""LEX-W-EVT-002"",""LEX-P-ASP-001""]",[],[],[]
P-INST-001,`with` as instrument.,with instrument vs by means,"[""P-DET-002""]","[""W-TEC-002""]","[""hand tools""]","[""scientific instruments""]","[""C018""]",ACTIVE,LEX-P-INST-001,L036,"[""LEX-W-TEC-002"",""LEX-P-DET-002""]",[],[],[]
P-INSTR-001,`tell/instruct X to + verb`.,quoted command vs reported instruction,"[""P-IMP-001"",""P-COM-002""]","[""W-COMP-008""]","[""programs""]","[""procedures/organizations""]","[""C173""]",ACTIVE,LEX-P-INSTR-001,L210,"[""LEX-W-COMP-008"",""LEX-P-IMP-001"",""LEX-P-COM-002""]",[],[],[]
P-LEX-001,"synonyms, antonyms, shades, context-selected multiple meanings.",similar ≠ interchangeable,"[""P-DESC-001""]","[""W-EPI-009""]","[""ordinary vocabulary""]","[""academic vocabulary""]","[""C205"",""C206"",""C207""]",ACTIVE,LEX-P-LEX-001,L284,"[""LEX-W-EPI-009"",""LEX-P-DESC-001""]",[],[],[]
P-LIT-001,"story questions/terms: character, setting, event; narrative sequence.",narrative event vs real-world truth,"[""P-Q-001"",""P-Q-003"",""P-SEQ-001""]","[""W-LIT-001""]","[""stories""]","[""history""]","[""C181"",""C182""]",ACTIVE,LEX-P-LIT-001,L173,"[""LEX-W-LIT-001"",""LEX-P-Q-001"",""LEX-P-Q-003"",""LEX-P-SEQ-001""]","[""RF-WHO-IDENTITY"",""RF-SEQUENCE""]",[],[]
P-MAT-001,`made of` vs `made from`; material-property opposites.,source material vs current composition,"[""P-PART-001"",""P-DESC-001""]","[""W-MAT-001"",""W-MAT-002""]","[""objects/materials""]","[""manufacturing""]","[""C078"",""C079""]",ACTIVE,LEX-P-MAT-001,L123,"[""LEX-W-MAT-001"",""LEX-W-MAT-002"",""LEX-P-PART-001"",""LEX-P-DESC-001""]",[],[],[]
P-MATH-001,"addition/subtraction language: `plus`, `in all`, `take away`, `left`.",operation vs static comparison,"[""P-QNT-001""]","[""W-MATH-003"",""W-MATH-004""]","[""collections""]","[""money/resources""]","[""C056"",""C057""]",ACTIVE,LEX-P-MATH-001,L064,"[""LEX-W-MATH-003"",""LEX-W-MATH-004"",""LEX-P-QNT-001""]",[],[],[]
P-MEAS-001,"measurement/price frames: `X is N units...`, `degrees`, `cost/how much`, `enough/too`.",count vs measure; amount vs price,"[""P-QNT-001"",""P-CMP-001""]","[""W-MATH-009"",""W-MATH-010""]","[""measurement""]","[""weather/economics""]","[""C066"",""C067"",""C068"",""C074"",""C075"",""C158""]",ACTIVE,LEX-P-MEAS-001,L075,"[""LEX-W-MATH-009"",""LEX-W-MATH-010"",""LEX-P-QNT-001"",""LEX-P-CMP-001""]",[],[],[]
P-META-001,"metalinguistic `In language X, Y means...`.",mentioning a word vs using it,"[""P-DEF-001""]","[""W-CUL-002""]","[""languages""]","[""terminology""]","[""C189""]",ACTIVE,LEX-P-META-001,L271,"[""LEX-W-CUL-002"",""LEX-P-DEF-001""]",[],[],[]
P-MOD-001,`can` for ability/perception.,ability vs permission/request,"[""P-TNS-002""]","[""W-BODY-002""]","[""senses""]","[""organism/machine capability""]","[""C043""]",ACTIVE,LEX-P-MOD-001,L226,"[""LEX-W-BODY-002"",""LEX-P-TNS-002""]",[],[],[]
P-MOD-002,`should/shouldn't` advice.,advice vs obligation,"[""P-TNS-002""]","[""W-BODY-004""]","[""health""]","[""engineering/social recommendation""]","[""C046""]",ACTIVE,LEX-P-MOD-002,L229,"[""LEX-W-BODY-004"",""LEX-P-TNS-002""]",[],[],[]
P-MOD-003,"`must/mustn't`, `have to`, prohibitions.",external obligation vs advice,"[""P-TNS-002""]","[""W-CIV-001""]","[""safety""]","[""rules/laws/requirements""]","[""C047"",""C049"",""C094"",""C148""]",ACTIVE,LEX-P-MOD-003,L190,"[""LEX-W-CIV-001"",""LEX-P-TNS-002""]",[],[],[]
P-MOD-004,"`may/can` permission and `may/might/could` possibility, taught as distinct subuses.",permission vs possibility vs ability,"[""P-MOD-001""]","[""W-HAZ-001""]","[""access""]","[""hazards/prediction""]","[""C048"",""C127"",""C142"",""C196""]",ACTIVE,LEX-P-MOD-004,L262,"[""LEX-W-HAZ-001"",""LEX-P-MOD-001""]",[],[],[]
P-MODEL-001,limitation frame: `represents X but does not include every...`.,model vs referent,"[""P-REP-001"",""P-DISC-001""]","[""W-REP-004""]","[""maps""]","[""scientific/computational models""]","[""C180""]",ACTIVE,LEX-P-MODEL-001,L269,"[""LEX-W-REP-004"",""LEX-P-REP-001"",""LEX-P-DISC-001""]","[""RF-AGREE-DISAGREE""]",[],[]
P-MORPH-001,"derivational morphology: common prefixes, suffixes, compounds, selected roots.",compositional meaning is not always exact,"[""P-DESC-001"",""P-DEF-001"",""P-CLASS-001""]","[""W-EPI-009"",""W-CUL-002""]","[""familiar words""]","[""technical vocabulary""]","[""C201"",""C202"",""C203"",""C204""]",ACTIVE,LEX-P-MORPH-001,L283,"[""LEX-W-EPI-009"",""LEX-W-CUL-002"",""LEX-P-DESC-001"",""LEX-P-DEF-001"",""LEX-P-CLASS-001""]",[],[],[]
P-NEED-001,`need` vs `want` predicates.,necessity vs preference,"[""P-TNS-002""]","[""W-PSY-001""]","[""ordinary needs""]","[""biological requirements/resources""]","[""C034""]",ACTIVE,LEX-P-NEED-001,L058,"[""LEX-W-PSY-001"",""LEX-P-TNS-002""]",[],[],[]
P-NEG-001,general present negation `do/does not`.,`is not` vs `does not`,"[""P-TNS-002""]","[""W-EVT-001""]","[""routines""]","[""properties/behavior""]","[""C025"",""SYN""]",ACTIVE,LEX-P-NEG-001,L017,"[""LEX-W-EVT-001"",""LEX-P-TNS-002""]",[],[],[]
P-NOUN-001,count/noncount distinction.,noun grammar vs real-world divisibility,"[""P-NUM-001""]","[""W-MAT-001""]","[""food/materials""]","[""substances/data""]","[""C035""]",ACTIVE,LEX-P-NOUN-001,L092,"[""LEX-W-MAT-001"",""LEX-P-NUM-001""]",[],[],[]
P-NUM-001,Regular plurals `-s/-es`.,grammatical number vs quantity word,"[""P-DET-001""]","[""W-OBJ-001""]","[""objects""]","[""organisms/data/categories""]","[""C005""]",ACTIVE,LEX-P-NUM-001,L005,"[""LEX-W-OBJ-001"",""LEX-P-DET-001""]",[],[],[]
P-ORD-001,ordinal forms.,cardinal vs ordinal,"[""P-QNT-001"",""P-SEQ-001""]","[""W-MATH-006""]","[""ordered objects""]","[""historical/procedural order""]","[""C059""]",ACTIVE,LEX-P-ORD-001,L068,"[""LEX-W-MATH-006"",""LEX-P-QNT-001"",""LEX-P-SEQ-001""]","[""RF-SEQUENCE""]",[],[]
P-PART-001,"part-whole frames `has`, `part of`, `contains/consists of`.",ownership vs membership vs material,"[""P-POSS-001""]","[""W-BODY-001""]","[""body""]","[""plants"",""geography"",""machines/systems""]","[""C042"",""C105"",""C133"",""C199""]",ACTIVE,LEX-P-PART-001,L121,"[""LEX-W-BODY-001"",""LEX-P-POSS-001""]",[],[],[]
P-PARTIC-001,participial modifiers.,participle vs finite verb,"[""P-PASS-001"",""P-ASP-001""]","[""W-MAT-004""]","[""processes""]","[""technical description""]","[""C218""]",ACTIVE,LEX-P-PARTIC-001,L221,"[""LEX-W-MAT-004"",""LEX-P-PASS-001"",""LEX-P-ASP-001""]",[],[],[]
