world_id,teaching_claim,domain,world_prerequisites,point_prerequisites,grounding_modes,provenance,status,frontier_lexeme_bundle_id,acquisition_lesson_id,required_established_lexeme_bundle_ids,frontier_lexemes
W-BIO-004,Animals can be classified into nested groups using shared features.,biology/classification,"[""W-BIO-001"",""W-EPI-004""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-TNS-002""]","[""COMPARISON"",""DIAGRAM""]","[""C108""]",ACTIVE,LEX-W-BIO-004,L235,"[""LEX-W-BIO-001"",""LEX-W-EPI-004"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-TNS-002""]","[""animals"",""classified"",""nested"",""groups"",""using"",""shared"",""features""]"
W-BIO-005,"Animal structures such as fur, feathers, scales, shells, wings, and fins relate to morphology; movement types are distinct actions.",biology,"[""W-BIO-004""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-TNS-002""]","[""COMPARISON"",""SCENE""]","[""C109"",""C110""]",ACTIVE,LEX-W-BIO-005,L237,"[""LEX-W-BIO-004"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-TNS-002""]","[""animal"",""structures"",""fur"",""feathers"",""scales"",""shells"",""wings"",""fins""]"
W-BIO-006,Habitats are environments in which organisms live; habitat is not synonymous with organism.,ecology,"[""W-GEO-002"",""W-GEO-003"",""W-BIO-001""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-PART-001""]","[""SCENE"",""DIAGRAM""]","[""C111""]",ACTIVE,LEX-W-BIO-006,L132,"[""LEX-W-GEO-002"",""LEX-W-GEO-003"",""LEX-W-BIO-001"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-PART-001""]","[""habitats"",""environments"",""which"",""organisms"",""live"",""habitat"",""synonymous"",""organism""]"
W-BIO-007,Structures can contribute to functions important for survival.,biology,"[""W-BIO-005"",""W-BIO-006""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-TNS-002""]","[""COMPARISON"",""DIAGRAM""]","[""C112""]",ACTIVE,LEX-W-BIO-007,L238,"[""LEX-W-BIO-005"",""LEX-W-BIO-006"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-TNS-002""]","[""structures"",""contribute"",""functions"",""important"",""survival""]"
W-BIO-008,Diet categories concern what organisms eat; feeding relations can form food chains.,ecology,"[""W-BIO-004"",""W-BIO-005"",""W-BIO-006""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-PART-001""]","[""DIAGRAM""]","[""C113"",""C114""]",ACTIVE,LEX-W-BIO-008,L239,"[""LEX-W-BIO-004"",""LEX-W-BIO-005"",""LEX-W-BIO-006"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-PART-001""]","[""diet"",""categories"",""concern"",""organisms"",""eat"",""feeding"",""form"",""food""]"
W-BIO-009,"Predator and prey describe an ecological interaction, not permanent moral categories.",ecology,"[""W-BIO-008""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-PART-001""]","[""DIAGRAM"",""SCENE""]","[""C115""]",ACTIVE,LEX-W-BIO-009,L240,"[""LEX-W-BIO-008"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-PART-001""]","[""predator"",""prey"",""describe"",""ecological"",""interaction"",""permanent"",""moral"",""categories""]"
W-BIO-010,Animal life cycles include development and reproduction; parent and offspring are distinct individuals.,biology,"[""W-TIME-002"",""W-BIO-004""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-TNS-002""]","[""SEQUENCE""]","[""C116"",""C117""]",ACTIVE,LEX-W-BIO-010,L242,"[""LEX-W-TIME-002"",""LEX-W-BIO-004"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-TNS-002""]","[""animal"",""life"",""cycles"",""include"",""development"",""reproduction"",""parent"",""offspring""]"
W-BIO-011,Offspring can resemble parents while varying from them and from one another.,heredity,"[""W-BIO-010""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001""]","[""COMPARISON""]","[""C117"",""C118"",""C119""]",ACTIVE,LEX-W-BIO-011,L243,"[""LEX-W-BIO-010"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001""]","[""offspring"",""resemble"",""parents"",""varying"",""them"",""another""]"
W-BIO-012,Organisms in ecosystems can depend on and affect other organisms and environmental resources.,ecology,"[""W-BIO-006"",""W-BIO-008""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-PART-001""]","[""DIAGRAM""]","[""C120""]",ACTIVE,LEX-W-BIO-012,L246,"[""LEX-W-BIO-006"",""LEX-W-BIO-008"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-PART-001""]","[""organisms"",""ecosystems"",""depend"",""affect"",""other"",""environmental"",""resources""]"
W-BIO-013,"Pollination and seed dispersal are transfer processes that may involve wind, animals, or other mechanisms.",biology,"[""W-BIO-002"",""W-BIO-003""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-TNS-002""]","[""SEQUENCE"",""DIAGRAM""]","[""C121""]",ACTIVE,LEX-W-BIO-013,L126,"[""LEX-W-BIO-002"",""LEX-W-BIO-003"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-TNS-002""]","[""pollination"",""seed"",""dispersal"",""transfer"",""processes"",""involve"",""wind"",""animals""]"
W-BIO-014,Decomposers contribute to breakdown of dead organic material.,ecology,"[""W-BIO-001"",""W-BIO-012""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-PART-001""]","[""DIAGRAM""]","[""C122""]",ACTIVE,LEX-W-BIO-014,L248,"[""LEX-W-BIO-001"",""LEX-W-BIO-012"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-PART-001""]","[""decomposers"",""contribute"",""breakdown"",""dead"",""organic"",""material""]"
W-BODY-001,A human body has major external parts organized by part–whole relations.,biology,"[""W-BIO-001""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-TNS-002""]","[""DIAGRAM""]","[""C042""]",ACTIVE,LEX-W-BODY-001,L120,"[""LEX-W-BIO-001"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-TNS-002""]","[""human"",""body"",""has"",""major"",""external"",""parts"",""organized"",""part""]"
W-BODY-002,"Sensory systems provide information through vision, hearing, smell, taste, and touch.",biology,"[""W-BODY-001"",""W-EPI-004""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-TNS-002""]","[""DIAGRAM""]","[""C043""]",ACTIVE,LEX-W-BODY-002,L225,"[""LEX-W-BODY-001"",""LEX-W-EPI-004"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-TNS-002""]","[""sensory"",""systems"",""provide"",""information"",""vision"",""hearing"",""smell"",""taste""]"
W-BODY-003,Emotions/internal states and externally observable behavior are related but not identical.,psychology,"[""W-EPI-001""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-TNS-002""]","[""DIALOGUE"",""COMPARISON""]","[""C044""]",ACTIVE,LEX-W-BODY-003,L181,"[""LEX-W-EPI-001"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-TNS-002""]","[""emotions"",""internal"",""states"",""externally"",""observable"",""behavior"",""related"",""but""]"
W-BODY-004,Symptoms are experienced/reported states that can motivate health-related action without themselves uniquely determining a diagnosis.,health,"[""W-BODY-001"",""W-BODY-002"",""W-BODY-003""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-TNS-002""]","[""DIALOGUE""]","[""C045"",""C046""]",ACTIVE,LEX-W-BODY-004,L227,"[""LEX-W-BODY-001"",""LEX-W-BODY-002"",""LEX-W-BODY-003"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-TNS-002""]","[""symptoms"",""experienced"",""reported"",""states"",""motivate"",""health-related"",""action"",""without""]"
W-BODY-005,Body systems are decomposed into interacting subsystems rather than taught as one C123 mega-lesson.,biology,"[""W-BODY-001"",""W-BODY-002""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-TNS-002""]","[""DIAGRAM""]","[""C123""]",ACTIVE,LEX-W-BODY-005,L250,"[""LEX-W-BODY-001"",""LEX-W-BODY-002"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-TNS-002""]","[""body"",""systems"",""decomposed"",""interacting"",""subsystems"",""rather"",""taught"",""c""]"
W-BODY-006,Support/movement and breathing are distinct body functions with interacting structures.,biology,"[""W-BODY-005""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-TNS-002""]","[""DIAGRAM""]","[""C123""]",ACTIVE,LEX-W-BODY-006,L251,"[""LEX-W-BODY-005"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-TNS-002""]","[""support"",""movement"",""breathing"",""body"",""functions"",""interacting"",""structures""]"
W-BODY-007,Circulation transports materials through the body.,biology,"[""W-BODY-005""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-TNS-002""]","[""DIAGRAM"",""SEQUENCE""]","[""C124""]",ACTIVE,LEX-W-BODY-007,L252,"[""LEX-W-BODY-005"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-TNS-002""]","[""circulation"",""transports"",""materials"",""body""]"
W-BODY-008,Digestion transforms and moves food through an ordered process.,biology,"[""W-BODY-005""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-TNS-002""]","[""DIAGRAM"",""SEQUENCE""]","[""C125""]",ACTIVE,LEX-W-BODY-008,L253,"[""LEX-W-BODY-005"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-TNS-002""]","[""digestion"",""transforms"",""moves"",""food"",""ordered"",""process""]"
W-BODY-009,Brain/nerves participate in receiving and coordinating information.,biology,"[""W-BODY-002"",""W-BODY-005""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-TNS-002""]","[""DIAGRAM""]","[""C126""]",ACTIVE,LEX-W-BODY-009,L254,"[""LEX-W-BODY-002"",""LEX-W-BODY-005"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-TNS-002""]","[""brain"",""nerves"",""participate"",""receiving"",""coordinating"",""information""]"
W-BODY-010,Germs can contribute to illness; prevention reduces risk but does not imply certainty.,health,"[""W-BODY-004"",""W-EPI-001""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-TNS-002""]","[""DIAGRAM"",""COMPARISON""]","[""C127""]",ACTIVE,LEX-W-BODY-010,L255,"[""LEX-W-BODY-004"",""LEX-W-EPI-001"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-TNS-002""]","[""germs"",""contribute"",""illness"",""prevention"",""reduces"",""risk"",""but"",""does""]"
W-CHR-001,"Persistent named agents. A name can continue to refer to the same individual across lessons; L000 establishes Ninereeds, Taro, Emma, Bob, Errol and their acquaintance with Ninereeds.",ontology/social,[],[],"[""DIALOGUE"",""SYMBOLIC""]","[""C001"",""C002"",""SYN""]",ACTIVE,LEX-W-CHR-001,L000,[],"[""Ninereeds"",""Taro"",""Emma"",""Bob"",""Errol"",""name"",""same individual""]"
W-CIV-001,"Rules, laws, advice, permission, prohibition, rights, and responsibilities are distinct normative relations.",civics,"[""W-SOC-007""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-TNS-002""]","[""COMPARISON"",""ABSTRACT""]","[""C047"",""C048"",""C049"",""C148"",""C152""]",ACTIVE,LEX-W-CIV-001,L189,"[""LEX-W-SOC-007"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-TNS-002""]","[""rules"",""laws"",""advice"",""permission"",""prohibition"",""rights"",""responsibilities"",""normative""]"
W-CIV-002,Governments/leaders perform responsibilities and collective functions; details vary by polity.,civics,"[""W-CIV-001""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-TNS-002""]","[""DIAGRAM"",""ABSTRACT""]","[""C149""]",ACTIVE,LEX-W-CIV-002,L196,"[""LEX-W-CIV-001"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-TNS-002""]","[""governments"",""leaders"",""perform"",""responsibilities"",""collective"",""functions"",""details"",""vary""]"
W-CIV-003,Groups can make collective choices using procedures such as voting.,civics,"[""W-SOC-003"",""W-SOC-004""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-TNS-002""]","[""DIALOGUE"",""SYMBOLIC""]","[""C150"",""C151""]",ACTIVE,LEX-W-CIV-003,L197,"[""LEX-W-SOC-003"",""LEX-W-SOC-004"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-TNS-002""]","[""groups"",""make"",""collective"",""choices"",""using"",""procedures"",""voting""]"
W-COM-001,"Sender–message–receiver. Communication can involve a sender, transferable message, and receiver.",communication,"[""W-TEC-001""]","[""P-DET-002"",""P-PRON-001"",""P-ID-001"",""P-TNS-002""]","[""DIAGRAM"",""SEQUENCE""]","[""C164"",""C165""]",ACTIVE,LEX-W-COM-001,L029,"[""LEX-W-TEC-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-ID-001"",""LEX-P-TNS-002""]","[""sender"",""message"",""receiver""]"
W-COM-002,"Communication media include phone, email, radio, and other channels; channel and message are distinct.",communication,"[""W-COM-001""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-TNS-002""]","[""COMPARISON"",""DIAGRAM""]","[""C164""]",ACTIVE,LEX-W-COM-002,L156,"[""LEX-W-COM-001"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-TNS-002""]","[""communication"",""media"",""include"",""phone"",""email"",""radio"",""other"",""channels""]"
W-COMP-001,Computing systems can receive inputs and produce outputs.,computing,"[""W-TEC-002""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-TNS-002""]","[""DIAGRAM""]","[""C168""]",ACTIVE,LEX-W-COMP-001,L159,"[""LEX-W-TEC-002"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-TNS-002""]","[""computing"",""systems"",""receive"",""inputs"",""produce"",""outputs""]"
W-COMP-002,"Files, records, and data can be stored; storage location and represented information are distinct.",computing,"[""W-REP-001"",""W-COMP-001""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-TNS-002""]","[""DIAGRAM"",""SYMBOLIC""]","[""C169""]",ACTIVE,LEX-W-COMP-002,L160,"[""LEX-W-REP-001"",""LEX-W-COMP-001"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-TNS-002""]","[""files"",""records"",""data"",""stored"",""storage"",""location"",""represented"",""information""]"
W-COMP-003,A network contains connected nodes and links over which information may move.,computing,"[""W-COM-001"",""W-GEO-001""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-TNS-002""]","[""DIAGRAM""]","[""C170""]",ACTIVE,LEX-W-COMP-003,L161,"[""LEX-W-COM-001"",""LEX-W-GEO-001"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-TNS-002""]","[""network"",""contains"",""connected"",""nodes"",""links"",""which"",""information"",""move""]"
W-COMP-004,"Paths, addresses, routing, local/distant connections, and failures are distinct network concepts.",computing,"[""W-COMP-003""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-TNS-002""]","[""DIAGRAM""]","[""C170"",""SYN""]",ACTIVE,LEX-W-COMP-004,L163,"[""LEX-W-COMP-003"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-TNS-002""]","[""paths"",""addresses"",""routing"",""local"",""distant"",""connections"",""failures"",""network""]"
W-COMP-005,The Internet is a networked system rather than a single device or single location.,computing,"[""W-COMP-003"",""W-COMP-004""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-TNS-002""]","[""DIAGRAM"",""ABSTRACT""]","[""C170""]",ACTIVE,LEX-W-COMP-005,L164,"[""LEX-W-COMP-003"",""LEX-W-COMP-004"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-TNS-002""]","[""internet"",""networked"",""system"",""rather"",""single"",""device"",""location""]"
W-COMP-006,Looking for information and successfully finding it are different events.,computing/information,"[""W-EPI-005""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-TNS-002""]","[""SYMBOLIC""]","[""C171""]",ACTIVE,LEX-W-COMP-006,L202,"[""LEX-W-EPI-005"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-TNS-002""]","[""looking"",""information"",""successfully"",""finding"",""it"",""events""]"
W-COMP-007,An algorithm is an ordered procedure that may include conditional branches.,computing,"[""W-EVT-002""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-TNS-002""]","[""SYMBOLIC"",""DIAGRAM""]","[""C172""]",ACTIVE,LEX-W-COMP-007,L165,"[""LEX-W-EVT-002"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-TNS-002""]","[""algorithm"",""ordered"",""procedure"",""include"",""conditional"",""branches""]"
W-COMP-008,Programs contain instructions interpreted/executed by computing systems.,computing,"[""W-COMP-001"",""W-COMP-007""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-TNS-002""]","[""SYMBOLIC""]","[""C173""]",ACTIVE,LEX-W-COMP-008,L166,"[""LEX-W-COMP-001"",""LEX-W-COMP-007"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-TNS-002""]","[""programs"",""contain"",""instructions"",""interpreted"",""executed"",""computing"",""systems""]"
W-COMP-009,Debugging is systematic diagnosis/revision after observed failure or error.,computing/engineering,"[""W-COMP-008"",""W-ENG-002"",""W-EPI-002""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-TNS-002""]","[""SEQUENCE"",""SYMBOLIC""]","[""C177""]",ACTIVE,LEX-W-COMP-009,L265,"[""LEX-W-COMP-008"",""LEX-W-ENG-002"",""LEX-W-EPI-002"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-TNS-002""]","[""debugging"",""systematic"",""diagnosis"",""revision"",""after"",""observed"",""failure"",""error""]"
W-COMP-010,Automation allows a system to perform assigned operations without a person manually doing every step.,computing,"[""W-COMP-007"",""W-COMP-008""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-TNS-002""]","[""DIAGRAM""]","[""C178""]",ACTIVE,LEX-W-COMP-010,L169,"[""LEX-W-COMP-007"",""LEX-W-COMP-008"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-TNS-002""]","[""automation"",""allows"",""system"",""perform"",""assigned"",""operations"",""without"",""person""]"
W-CUL-001,Customs and traditions vary across groups and are not universal human rules.,culture,"[""W-SOC-009""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001""]","[""COMPARISON"",""DIALOGUE""]","[""C188""]",ACTIVE,LEX-W-CUL-001,L176,"[""LEX-W-SOC-009"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001""]","[""customs"",""traditions"",""vary"",""across"",""groups"",""universal"",""human"",""rules""]"
W-CUL-002,Languages and writing systems are conventional symbolic systems and can differ.,culture/language,"[""W-REP-003""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001""]","[""SYMBOLIC""]","[""C189""]",ACTIVE,LEX-W-CUL-002,L177,"[""LEX-W-REP-003"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001""]","[""languages"",""writing"",""systems"",""conventional"",""symbolic"",""differ""]"
W-CUL-003,Beliefs/worldviews are attributed to people or traditions; differing beliefs can be represented without curricular endorsement.,culture/epistemic,"[""W-EPI-001"",""W-SOC-004""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-CAU-001""]","[""DIALOGUE"",""ABSTRACT""]","[""C190""]",ACTIVE,LEX-W-CUL-003,L214,"[""LEX-W-EPI-001"",""LEX-W-SOC-004"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-CAU-001""]","[""beliefs"",""worldviews"",""attributed"",""people"",""traditions"",""differing"",""represented""]"
W-CUL-004,Celebrations/ceremonies have culturally situated purposes and forms.,culture,"[""W-CUL-001""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001""]","[""SCENE"",""DIALOGUE""]","[""C191""]",ACTIVE,LEX-W-CUL-004,L178,"[""LEX-W-CUL-001"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001""]","[""celebrations"",""ceremonies"",""have"",""culturally"",""situated"",""purposes"",""forms""]"
W-DATA-001,"Tables and charts are representations of data, not the measured entities themselves.",data,"[""W-REP-001"",""W-MATH-001""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-REP-001""]","[""SYMBOLIC""]","[""C174""]",ACTIVE,LEX-W-DATA-001,L167,"[""LEX-W-REP-001"",""LEX-W-MATH-001"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-REP-001""]","[""tables"",""charts"",""representations"",""data"",""measured"",""entities"",""themselves""]"
W-DATA-002,Trends describe changes/relationships across data rather than individual observations.,data,"[""W-DATA-001"",""W-MATH-002""]","[""P-ID-001"",""P-DET-002"",""P-PRON-001"",""P-REP-001""]","[""SYMBOLIC""]","[""C175""]",ACTIVE,LEX-W-DATA-002,L168,"[""LEX-W-DATA-001"",""LEX-W-MATH-002"",""LEX-P-ID-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-REP-001""]","[""trends"",""describe"",""changes"",""relationships"",""across"",""data"",""rather"",""individual""]"
