source_id,original_topic,original_point,target_world_ids,target_point_ids,lesson_ids,backlog_status,transformation_type,exclusion_or_defer_reason,authority_role
C011,items in an office,“there is/there are”,"[""W-OBJ-001""]","[""P-EXIST-001""]","[""L003"",""L009""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C012,positions of objects in a room,“in/on/under/above/beside/next to”,"[""W-OBJ-001""]","[""P-SPAT-001""]","[""L003"",""L010""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C013,"entering, leaving, and moving between places",“to/from/into/out of”,"[""W-GEO-001"",""W-OBJ-001""]","[""P-PATH-001""]","[""L003"",""L039"",""L040""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C014,identifying people and things,“who?” and “what?”,[],"[""P-Q-001"",""P-Q-007""]","[""L000"",""L008""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C015,locating people and objects,“where?”,[],"[""P-Q-003""]","[""L011""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C016,events and appointments,“when?”,"[""W-TIME-001""]","[""P-Q-005""]","[""L054"",""L055""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C017,means of transportation,"“by” as the means of performing an action: “by train,” “by car”","[""W-TRN-001""]","[""P-REL-001""]","[""L032"",""L038""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C018,hand tools and instruments,“with” as an instrument: “cut it with a knife”,"[""W-TEC-002""]","[""P-INST-001""]","[""L035"",""L036""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C019,tools and their functions,“used to + verb” and “used for + -ing”,"[""W-TEC-002""]","[""P-FUNC-001""]","[""L035"",""L037""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C020,asking someone for help,polite requests with “can you…?” and “please”,"[""W-SOC-003""]","[""P-SOC-005""]","[""L049"",""L050""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C021,receiving help or a gift,"thanking and responding: “thank you,” “thanks,” “you’re welcome”",[],"[""P-SOC-009""]","[""L051""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C022,minor mistakes and interruptions,"apologies and attention-getting: “sorry,” “excuse me”",[],"[""P-SOC-006""]","[""L186""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C023,achievements and good news,congratulations and positive social formulas,[],"[""P-SOC-007""]","[""L179""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C024,checking identity or state,yes/no questions with “be”: “Is this yours?” “Are they ready?”,[],"[""P-ID-001"",""P-Q-006""]","[""L000"",""L018""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C025,ordinary actions,yes/no questions with “do/does”,[],"[""P-NEG-001"",""P-Q-006""]","[""L017"",""L018""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C026,choosing between alternatives,“or” in alternative questions: “tea or coffee?”,[],"[""P-Q-002"",""P-Q-004""]","[""L000"",""L041""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C027,rooms and activities in a home,simple present for habitual facts and routines,"[""W-EVT-001""]","[""P-TNS-002""]","[""L014"",""L016""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C028,a daily schedule,frequency adverbs: “always/usually/often/sometimes/never”,"[""W-EVT-001""]","[""P-FREQ-001""]","[""L014"",""L019""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C029,what different people do each day,"third-person singular “-s”: “she works,” “the bus stops”","[""W-EVT-001""]","[""P-TNS-002""]","[""L014"",""L016""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C030,activity happening right now,present progressive: “is/are + -ing”,"[""W-EVT-001""]","[""P-ASP-001""]","[""L014"",""L015""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C031,instructions in an office or classroom,"the imperative: “open the file,” “put it here”","[""W-EVT-002""]","[""P-IMP-001""]","[""L020"",""L022""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C032,completing a short task,"procedural sequence: “first, next, then, finally”","[""W-EVT-002""]","[""P-SEQ-001""]","[""L020"",""L023""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C033,hobbies and preferred activities,“like/love/dislike + noun” and “+ -ing”,[],"[""P-PREF-001""]","[""L057""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C034,needs versus preferences,“need” versus “want”,"[""W-PSY-001""]","[""P-NEED-001""]","[""L056"",""L058""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C035,foods and ingredients,count versus noncount nouns,[],"[""P-NOUN-001""]","[""L092""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C036,food available in a kitchen,“some/any”,[],"[""P-QNT-002""]","[""L093""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C037,quantities of food and materials,“many/much/a lot of”,[],"[""P-QNT-002""]","[""L093""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C038,containers and portions,"partitive expressions: “a cup of,” “a piece of,” “a bottle of”",[],"[""P-QNT-002""]","[""L093""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C039,offering food or drink,“Would you like…?”,[],"[""P-SOC-008""]","[""L059""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C040,inviting someone to an activity,accepting and declining invitations politely,[],"[""P-SOC-008""]","[""L059""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C041,clothing and getting dressed,separable action expressions “put on/take off”,[],"[""P-ACT-001""]","[""L060""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C042,major parts of the human body,part–whole language: “X has Y”; “Y is part of X”,"[""W-BODY-001"",""W-SYS-001""]","[""P-PART-001""]","[""L112"",""L120"",""L121""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C043,the five senses,perception with “can”: “can see/hear/smell/taste/feel”,"[""W-BODY-002""]","[""P-MOD-001""]","[""L225"",""L226""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C044,emotions and internal states,"“feel + adjective”: “feel happy,” “feel worried”","[""W-BODY-003""]","[""P-STATE-001""]","[""L181"",""L228""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C045,ordinary symptoms and discomfort,“have + noun” versus “feel + adjective”: “have a headache”; “feel sick”,"[""W-BODY-004""]","[""P-STATE-001""]","[""L227"",""L228""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C046,visiting a doctor or clinic,advice with “should/shouldn’t”,"[""W-BODY-004""]","[""P-MOD-002""]","[""L227"",""L229""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C047,warning and safety signs,rules with “must/mustn’t”,"[""W-CIV-001"",""W-HAZ-002""]","[""P-MOD-003""]","[""L189"",""L190"",""L261""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C048,entering or using a restricted space,permission with “may/can”,"[""W-CIV-001"",""W-HAZ-002""]","[""P-MOD-004""]","[""L189"",""L261"",""L262""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C049,emergencies and urgent instructions,direct imperative commands and prohibitions,"[""W-CIV-001"",""W-HAZ-002""]","[""P-MOD-003""]","[""L189"",""L190"",""L261""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C050,explaining why something happened,“because”,[],"[""P-CAU-001""]","[""L191""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C051,causes producing results,“so”,[],"[""P-CAU-003""]","[""L192""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C052,two facts that contrast,coordinating conjunction “but”,[],"[""P-DISC-001""]","[""L187""]",ACTIVE_COMPILED,REUSABLE_POINT_OR_TRANSFER,,PROVENANCE_CANDIDATE_ONLY
C053,counting collections of objects,“how many?”,"[""W-MATH-001""]","[""P-QNT-001""]","[""L043"",""L044""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C054,empty sets and absence,“no/none/not any”,"[""W-MATH-001""]","[""P-QNT-001""]","[""L043"",""L044""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C055,comparing two groups,“more than/less than/equal to”,"[""W-MATH-002""]","[""P-CMP-001""]","[""L045"",""L046""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C056,putting collections together,"addition language: “plus,” “altogether,” “in all”","[""W-MATH-003""]","[""P-MATH-001""]","[""L061"",""L064""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C057,taking objects away from a collection,"subtraction language: “take away,” “left,” “remain”","[""W-MATH-004""]","[""P-MATH-001""]","[""L062"",""L064""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C058,distributing objects among people,“each/every/all”,"[""W-MATH-005""]","[""P-QNT-003""]","[""L065"",""L066""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C059,positions in an ordered sequence,"ordinal numbers: “first, second, third…”","[""W-MATH-006""]","[""P-ORD-001""]","[""L067"",""L068""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C060,familiar two-dimensional shapes,“shaped like”: “the sign is shaped like a triangle”,"[""W-MATH-007"",""W-OBJ-003""]","[""P-SHAPE-001""]","[""L012"",""L069"",""L071""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C061,two- and three-dimensional objects,"describing attributes with “has”: “has four sides,” “has six faces”","[""W-MATH-008"",""W-OBJ-003""]","[""P-SHAPE-001""]","[""L012"",""L070"",""L071""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C062,objects of different sizes,comparative adjectives with “-er”,"[""W-MATH-009"",""W-OBJ-003""]","[""P-CMP-002""]","[""L012"",""L072"",""L073""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C063,direct comparison of measurements,comparative “than”,"[""W-MATH-009"",""W-OBJ-003""]","[""P-CMP-002""]","[""L012"",""L072"",""L073""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C064,objects with equal properties,"“as…as”: “as long as,” “as heavy as”","[""W-MATH-009"",""W-OBJ-003""]","[""P-CMP-002""]","[""L012"",""L072"",""L073""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C065,extremes in a collection,"superlatives: “largest,” “smallest,” “fastest”","[""W-MATH-009"",""W-OBJ-003""]","[""P-CMP-002""]","[""L012"",""L072"",""L073""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C066,mass and capacity,“more/less” with quantities,"[""W-MATH-009"",""W-MATH-010""]","[""P-MEAS-001""]","[""L072"",""L074"",""L075""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C067,rulers and standard units,measurement frame “X is Y units long/high/wide”,"[""W-MATH-009""]","[""P-MEAS-001""]","[""L072"",""L075""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C068,weather and temperature readings,"“degrees,” “above,” and “below”","[""W-EAR-001""]","[""P-MEAS-001""]","[""L075"",""L076""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C069,"clocks, dates, and calendars",temporal “at/on/in”,"[""W-TIME-001""]","[""P-TIME-001""]","[""L054"",""L078""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C070,ordering events in time,“before/after”,"[""W-TIME-002""]","[""P-TIME-001""]","[""L077"",""L078""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C071,"yesterday, today, and tomorrow",simple past/present/future contrasts,"[""W-TIME-003""]","[""P-TNS-001"",""P-TNS-003""]","[""L080"",""L081"",""L082""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C072,how long an event lasts,duration with “for”,"[""W-TIME-002""]","[""P-TIME-001""]","[""L077"",""L078""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C073,ages and generations,"“years old,” “older than,” “younger than”","[""W-TIME-004""]","[""P-AGE-001""]","[""L083"",""L084""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C074,prices in a store,“how much?” and “cost”,"[""W-ECO-001""]","[""P-MEAS-001""]","[""L075"",""L085""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C075,having sufficient money or material,“enough/not enough”,"[""W-ECO-002""]","[""P-MEAS-001""]","[""L075"",""L087""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C076,dividing wholes into parts,"“whole,” “half,” “quarter,” “part of”","[""W-MATH-011""]","[""P-FRAC-001""]","[""L088"",""L122""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C077,repeating visual and numerical patterns,"repetition language: “every,” “every other,” “again”","[""W-MATH-012""]","[""P-PAT-001""]","[""L089"",""L090""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C078,materials used to make objects,“made of” versus “made from”,"[""W-MAT-001""]","[""P-MAT-001""]","[""L091"",""L123""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C079,physical properties of materials,"adjective opposites: “hard/soft,” “rough/smooth,” “flexible/rigid”","[""W-MAT-002""]","[""P-MAT-001""]","[""L094"",""L123""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C080,"solids, liquids, and gases","classification with “can be”: “water can be solid, liquid, or gas”","[""W-MAT-003""]","[""P-CLASS-001""]","[""L095"",""L096""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C081,materials changing state or form,“become/turn into”,"[""W-MAT-004""]","[""P-CHANGE-001""]","[""L097"",""L098""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C082,heating and cooling,general relationships with “when”: “when water freezes…”,"[""W-MAT-004""]","[""P-COND-001""]","[""L097"",""L193""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C083,"pushes, pulls, and collisions",causative “make + object + verb”: “the push makes it move”,"[""W-PHY-001""]","[""P-CAU-002""]","[""L099"",""L100""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C084,"starting, stopping, and changing motion",inchoative/causative action pairs: “move/stop/start/turn”,"[""W-PHY-001""]",[],"[""L099""]",ACTIVE_COMPILED,WORLD_OBJECTIVE,,PROVENANCE_CANDIDATE_ONLY
C085,objects moving at different speeds,comparative adverbs: “moves faster/slower than”,"[""W-PHY-001"",""W-PHY-002""]","[""P-CMP-002""]","[""L073"",""L099"",""L101""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C086,simple machines and mechanical advantage,“helps X by + -ing”,"[""W-PHY-003""]","[""P-FUNC-002""]","[""L102"",""L103""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C087,magnets and magnetic materials,contrastive quantification: “some…; others…”,"[""W-PHY-004""]","[""P-QNT-004""]","[""L104"",""L105""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C088,light and seeing objects,necessity/purpose: “need X to + verb”,"[""W-PHY-005""]","[""P-PURP-001""]","[""L231"",""L232""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C089,shadows and blocked light,causal explanation with “because”,"[""W-PHY-006""]",[],"[""L233""]",ACTIVE_COMPILED,WORLD_OBJECTIVE,,PROVENANCE_CANDIDATE_ONLY
C090,sound and vibration,“cause” and “make”: “vibration causes sound”; “vibration makes a sound”,"[""W-PHY-007""]","[""P-CAU-004""]","[""L106"",""L194""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C091,simple electrical circuits,real conditions with “if…then…”,"[""W-PHY-008""]","[""P-COND-001""]","[""L107"",""L193""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C092,common energy sources,“comes from”,"[""W-PHY-009""]","[""P-SOURCE-001""]","[""L108"",""L109""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C093,machines made of interacting parts,“consists of”,"[""W-ENG-001""]",[],"[""L111""]",ACTIVE_COMPILED,WORLD_OBJECTIVE,,PROVENANCE_CANDIDATE_ONLY
C094,an engineering problem,necessity with “need to/have to”,"[""W-ENG-002""]","[""P-MOD-003""]","[""L190"",""L234""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C095,testing a proposed solution,predictions and results with “if…then…”,"[""W-ENG-002""]","[""P-COND-001""]","[""L193"",""L234""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C096,current weather conditions,"impersonal weather “it”: “it is raining,” “it is cold”","[""W-EAR-001""]",[],"[""L076""]",ACTIVE_COMPILED,WORLD_OBJECTIVE,,PROVENANCE_CANDIDATE_ONLY
C097,recurring weather patterns,“usually” and “tends to”,"[""W-EAR-002""]","[""P-GEN-001""]","[""L113"",""L114""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C098,seasons and seasonal events,“during”,"[""W-EAR-002""]","[""P-TIME-001""]","[""L078"",""L113""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C099,"evaporation, condensation, and precipitation","basic process passive: “is heated,” “is cooled,” “is carried”","[""W-EAR-003""]","[""P-PASS-001""]","[""L115"",""L116""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C100,"mountains, valleys, plains, and coasts","relative-location phrases: “between,” “beside,” “at the foot of”","[""W-GEO-002""]","[""P-GEO-001""]","[""L129"",""L135""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C101,"rivers, lakes, and oceans",movement of water with “flows from/through/into”,"[""W-GEO-003""]","[""P-FLOW-001""]","[""L130"",""L131""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C102,natural resources,source and function: “comes from”; “is used for”,"[""W-EAR-004""]","[""P-SOURCE-001""]","[""L109"",""L117""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C103,"waste, recycling, and resource conservation",alternatives with “instead of”,"[""W-EAR-004""]","[""P-ALT-001""]","[""L117"",""L118""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C104,living versus nonliving things,stating necessary properties with “needs”,"[""W-BIO-001""]",[],"[""L119""]",ACTIVE_COMPILED,WORLD_OBJECTIVE,,PROVENANCE_CANDIDATE_ONLY
C105,"roots, stems, leaves, flowers, and seeds",whole–part relations with “has” and “part of”,"[""W-BIO-002"",""W-SYS-001""]","[""P-PART-001""]","[""L112"",""L121"",""L124""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C106,what plants require to grow,“need + noun” and “need to + verb”,"[""W-BIO-003""]",[],"[""L125""]",ACTIVE_COMPILED,WORLD_OBJECTIVE,,PROVENANCE_CANDIDATE_ONLY
C107,plant growth from seed to mature plant,developmental path “from…to…”,"[""W-BIO-003""]",[],"[""L125""]",ACTIVE_COMPILED,WORLD_OBJECTIVE,,PROVENANCE_CANDIDATE_ONLY
C108,basic animal groups,genus-and-difference definition: “A X is a Y that…”,"[""W-BIO-004""]","[""P-DEF-001""]","[""L235"",""L236""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
C109,"fur, feathers, scales, shells, wings, and fins",descriptive “with”: “an animal with feathers”,"[""W-BIO-005""]",[],"[""L237""]",ACTIVE_COMPILED,WORLD_OBJECTIVE,,PROVENANCE_CANDIDATE_ONLY
C110,ways animals move,shades of verb meaning: “walk/run/crawl/slither/swim/fly”,"[""W-BIO-005""]",[],"[""L237""]",ACTIVE_COMPILED,WORLD_OBJECTIVE,,PROVENANCE_CANDIDATE_ONLY
C111,"forests, grasslands, deserts, oceans, and other habitats",“live in/on/near”,"[""W-BIO-006""]",[],"[""L132""]",ACTIVE_COMPILED,WORLD_OBJECTIVE,,PROVENANCE_CANDIDATE_ONLY
C112,structures that help organisms survive,structure/function frame “helps X to + verb”,"[""W-BIO-007""]","[""P-FUNC-002""]","[""L103"",""L238""]",ACTIVE_COMPILED,DECOMPOSED_NORMALIZED_OR_MERGED,,PROVENANCE_CANDIDATE_ONLY
