lesson_id,topic,primary_frontier,world_objectives,foreground_point,staged_gates,frontier_lexemes,frontier_lexeme_bundle_ids,required_lexeme_bundle_ids,required_points,required_response_forms,introduced_response_forms,required_discourse_operations,introduced_discourse_operations,surface_language_contract,rehearsal_transfer_targets,prerequisite_lesson_ids,characters,locations,canonical_chronology_event,canonical_first_meeting_pairs,exercise_scope,grounding_modes,picture_book_status,evaluation_targets,source_provenance,estimated_minutes,learning_objectives,point_definition
L010,in/on/under/above/beside/next to,POINT_FRONTIER,"[{""world_id"":""W-OBJ-001"",""status"":""EST""}]","{""point_ids"":[""P-SPAT-001""],""status"":""NEW""}",[],"[""in/on/under/above/beside/next to""]","[""LEX-P-SPAT-001""]","[""LEX-W-OBJ-001"",""LEX-P-DET-002""]","[""P-DET-002""]",[],[],[],[],"{""non_frontier_language_must_be_established"":true,""allowed_new_language"":""LEX-P-SPAT-001"",""presentation_practice_feedback_evaluation_closed"":true}","[""P-PRON-001"",""P-DET-003"",""P-Q-007"",""P-EXIST-001""]","[""L003"",""L004""]","[""CHAR-EMMA"",""CHAR-TARO""]","[""LOC-DIRECT-TEACHING""]",,[],Canonical persistent-world event only when chronology_event is non-null; otherwise direct instruction or noncanonical controlled examples.,"[""SCENE"",""SYMBOLIC""]",PB-O,"[""Wording-changed probe"",""Delayed retrieval probe"",""Composition with established material"",""Cross-domain POINT probe""]","[""C012""]",30,"[""`in/on/under/above/beside/next to`.""]",`in/on/under/above/beside/next to`.
L011,where?,POINT_FRONTIER,"[{""world_id"":""W-OBJ-001"",""status"":""EST""}]","{""point_ids"":[""P-Q-003""],""status"":""NEW""}",[],"[""where?""]","[""LEX-P-Q-003""]","[""LEX-W-OBJ-001"",""LEX-P-SPAT-001""]","[""P-SPAT-001""]",[],[],[],[],"{""non_frontier_language_must_be_established"":true,""allowed_new_language"":""LEX-P-Q-003"",""presentation_practice_feedback_evaluation_closed"":true}","[""P-DET-003"",""P-Q-007"",""P-EXIST-001"",""P-SPAT-001""]","[""L003"",""L010""]","[""CHAR-EMMA"",""CHAR-TARO""]","[""LOC-DIRECT-TEACHING""]",,[],Canonical persistent-world event only when chronology_event is non-null; otherwise direct instruction or noncanonical controlled examples.,"[""SCENE"",""SYMBOLIC""]",PB-O,"[""Wording-changed probe"",""Delayed retrieval probe"",""Composition with established material"",""Cross-domain POINT probe""]","[""C015""]",30,"[""`where?`""]",`where?`
L012,Properties vs identity,WORLD_FRONTIER,"[{""world_id"":""W-OBJ-003"",""status"":""NEW""}]","{""point_ids"":[""P-DET-002""],""status"":""EST""}",[],"[""properties"",""identity""]","[""LEX-W-OBJ-003""]","[""LEX-W-OBJ-001"",""LEX-P-DET-002"",""LEX-P-Q-007"",""LEX-P-ID-001"",""LEX-P-PRON-001""]","[""P-DET-002"",""P-Q-007"",""P-ID-001"",""P-PRON-001""]","[""RF-WHAT-TYPE"",""RF-AFFIRM-IDENTITY"",""RF-NEGATE-IDENTITY""]",[],"[""DO-IDENTIFY""]",[],"{""non_frontier_language_must_be_established"":true,""allowed_new_language"":""LEX-W-OBJ-003"",""presentation_practice_feedback_evaluation_closed"":true}","[""P-Q-007"",""P-EXIST-001"",""P-SPAT-001"",""P-Q-003""]","[""L003"",""L004"",""L008"",""L000"",""L006""]","[""CHAR-EMMA"",""CHAR-TARO""]","[""LOC-DIRECT-TEACHING""]",,[],Canonical persistent-world event only when chronology_event is non-null; otherwise direct instruction or noncanonical controlled examples.,"[""COMPARISON""]",PB-O,"[""Wording-changed probe"",""Delayed retrieval probe"",""Composition with established material"",""World-concept probe without frontier wording""]","[""C010"",""C060"",""C061"",""C062"",""C063"",""C064"",""C065""]",30,"[""Properties vs identity. Color, size, and shape are properties of an object; changing a property description does not automatically create a new object.""]",Definite `the` for identifiable referent.
L013,adjective+noun and be + adjective,POINT_FRONTIER,"[{""world_id"":""W-OBJ-003"",""status"":""EST""}]","{""point_ids"":[""P-DESC-001""],""status"":""NEW""}",[],"[""be + adjective""]","[""LEX-P-DESC-001""]","[""LEX-W-OBJ-003"",""LEX-P-ID-001"",""LEX-P-DET-002""]","[""P-ID-001"",""P-DET-002""]","[""RF-AFFIRM-IDENTITY"",""RF-NEGATE-IDENTITY""]",[],"[""DO-IDENTIFY""]",[],"{""non_frontier_language_must_be_established"":true,""allowed_new_language"":""LEX-P-DESC-001"",""presentation_practice_feedback_evaluation_closed"":true}","[""P-EXIST-001"",""P-SPAT-001"",""P-Q-003"",""W-OBJ-003""]","[""L012"",""L000"",""L004""]","[""CHAR-EMMA"",""CHAR-TARO""]","[""LOC-DIRECT-TEACHING""]",,[],Canonical persistent-world event only when chronology_event is non-null; otherwise direct instruction or noncanonical controlled examples.,"[""SCENE"",""SYMBOLIC""]",PB-O,"[""Wording-changed probe"",""Delayed retrieval probe"",""Composition with established material"",""Cross-domain POINT probe""]","[""C010""]",30,"[""adjective+noun and `be + adjective`.""]",adjective+noun and `be + adjective`.
L014,"Action, state, and routine",WORLD_FRONTIER,"[{""world_id"":""W-EVT-001"",""status"":""NEW""}]","{""point_ids"":[""P-DET-002""],""status"":""EST""}",[],"[""action"",""state"",""routine""]","[""LEX-W-EVT-001""]","[""LEX-W-CHR-001"",""LEX-W-OBJ-001"",""LEX-P-DET-002"",""LEX-P-PRON-001"",""LEX-P-SPAT-001"",""LEX-P-ID-001""]","[""P-DET-002"",""P-PRON-001"",""P-SPAT-001"",""P-ID-001""]","[""RF-AFFIRM-IDENTITY"",""RF-NEGATE-IDENTITY""]",[],"[""DO-IDENTIFY""]",[],"{""non_frontier_language_must_be_established"":true,""allowed_new_language"":""LEX-W-EVT-001"",""presentation_practice_feedback_evaluation_closed"":true}","[""P-SPAT-001"",""P-Q-003"",""W-OBJ-003"",""P-DESC-001""]","[""L000"",""L003"",""L004"",""L006"",""L010""]","[""CHAR-EMMA"",""CHAR-TARO""]","[""LOC-DIRECT-TEACHING""]",,[],Canonical persistent-world event only when chronology_event is non-null; otherwise direct instruction or noncanonical controlled examples.,"[""SEQUENCE"",""COMPARISON""]",PB-O,"[""Wording-changed probe"",""Delayed retrieval probe"",""Composition with established material"",""World-concept probe without frontier wording""]","[""C027"",""C028"",""C029"",""C030""]",30,"[""Action, state, and routine. Something happening now differs from a recurring routine or relatively stable state.""]",Definite `the` for identifiable referent.
L015,present progressive be + -ing,POINT_FRONTIER,"[{""world_id"":""W-EVT-001"",""status"":""EST""}]","{""point_ids"":[""P-ASP-001""],""status"":""NEW""}",[],"[""be + -ing""]","[""LEX-P-ASP-001""]","[""LEX-W-EVT-001"",""LEX-P-ID-001""]","[""P-ID-001""]","[""RF-AFFIRM-IDENTITY"",""RF-NEGATE-IDENTITY""]",[],"[""DO-IDENTIFY""]",[],"{""non_frontier_language_must_be_established"":true,""allowed_new_language"":""LEX-P-ASP-001"",""presentation_practice_feedback_evaluation_closed"":true}","[""P-Q-003"",""W-OBJ-003"",""P-DESC-001"",""W-EVT-001""]","[""L014"",""L000""]","[""CHAR-EMMA"",""CHAR-TARO""]","[""LOC-DIRECT-TEACHING""]",,[],Canonical persistent-world event only when chronology_event is non-null; otherwise direct instruction or noncanonical controlled examples.,"[""SCENE"",""SYMBOLIC""]",PB-O,"[""Wording-changed probe"",""Delayed retrieval probe"",""Composition with established material"",""Cross-domain POINT probe""]","[""C030""]",30,"[""present progressive `be + -ing`.""]",present progressive `be + -ing`.
L016,"simple present for habits/general routines, including third-person -s",POINT_FRONTIER,"[{""world_id"":""W-EVT-001"",""status"":""EST""}]","{""point_ids"":[""P-TNS-002""],""status"":""NEW""}",[],"[""-s""]","[""LEX-P-TNS-002""]","[""LEX-W-EVT-001"",""LEX-P-ASP-001""]","[""P-ASP-001""]",[],[],[],[],"{""non_frontier_language_must_be_established"":true,""allowed_new_language"":""LEX-P-TNS-002"",""presentation_practice_feedback_evaluation_closed"":true}","[""W-OBJ-003"",""P-DESC-001"",""W-EVT-001"",""P-ASP-001""]","[""L014"",""L015""]","[""CHAR-EMMA"",""CHAR-TARO""]","[""LOC-DIRECT-TEACHING""]",,[],Canonical persistent-world event only when chronology_event is non-null; otherwise direct instruction or noncanonical controlled examples.,"[""SCENE"",""SYMBOLIC""]",PB-O,"[""Wording-changed probe"",""Delayed retrieval probe"",""Composition with established material"",""Cross-domain POINT probe""]","[""C027"",""C029""]",30,"[""simple present for habits/general routines, including third-person `-s`.""]","simple present for habits/general routines, including third-person `-s`."
L017,general present negation do/does not,POINT_FRONTIER,"[{""world_id"":""W-EVT-001"",""status"":""EST""}]","{""point_ids"":[""P-NEG-001""],""status"":""NEW""}",[],"[""do/does not""]","[""LEX-P-NEG-001""]","[""LEX-W-EVT-001"",""LEX-P-TNS-002""]","[""P-TNS-002""]",[],[],[],[],"{""non_frontier_language_must_be_established"":true,""allowed_new_language"":""LEX-P-NEG-001"",""presentation_practice_feedback_evaluation_closed"":true}","[""P-DESC-001"",""W-EVT-001"",""P-ASP-001"",""P-TNS-002""]","[""L014"",""L016""]","[""CHAR-EMMA"",""CHAR-TARO""]","[""LOC-DIRECT-TEACHING""]",,[],Canonical persistent-world event only when chronology_event is non-null; otherwise direct instruction or noncanonical controlled examples.,"[""SCENE"",""SYMBOLIC""]",PB-O,"[""Wording-changed probe"",""Delayed retrieval probe"",""Composition with established material"",""Cross-domain POINT probe""]","[""C025"",""SYN""]",30,"[""general present negation `do/does not`.""]",general present negation `do/does not`.
L018,productive yes/no questions with be and do/does,POINT_FRONTIER,"[{""world_id"":""W-EVT-001"",""status"":""EST""}]","{""point_ids"":[""P-Q-006""],""status"":""NEW""}",[],"[""be"",""do/does""]","[""LEX-P-Q-006""]","[""LEX-W-EVT-001"",""LEX-P-ID-001"",""LEX-P-TNS-002""]","[""P-ID-001"",""P-TNS-002""]","[""RF-AFFIRM-IDENTITY"",""RF-NEGATE-IDENTITY""]","[""RF-YES-NO""]","[""DO-IDENTIFY""]",[],"{""non_frontier_language_must_be_established"":true,""allowed_new_language"":""LEX-P-Q-006"",""presentation_practice_feedback_evaluation_closed"":true}","[""W-EVT-001"",""P-ASP-001"",""P-TNS-002"",""P-NEG-001""]","[""L014"",""L000"",""L016""]","[""CHAR-EMMA"",""CHAR-TARO""]","[""LOC-DIRECT-TEACHING""]",,[],Canonical persistent-world event only when chronology_event is non-null; otherwise direct instruction or noncanonical controlled examples.,"[""SCENE"",""SYMBOLIC""]",PB-O,"[""Wording-changed probe"",""Delayed retrieval probe"",""Composition with established material"",""Cross-domain POINT probe""]","[""C024"",""C025""]",30,"[""productive yes/no questions with `be` and `do/does`.""]",productive yes/no questions with `be` and `do/does`.
L019,always/usually/often/sometimes/never,POINT_FRONTIER,"[{""world_id"":""W-EVT-001"",""status"":""EST""}]","{""point_ids"":[""P-FREQ-001""],""status"":""NEW""}",[],"[""always/usually/often/sometimes/never""]","[""LEX-P-FREQ-001""]","[""LEX-W-EVT-001"",""LEX-P-TNS-002""]","[""P-TNS-002""]",[],[],[],[],"{""non_frontier_language_must_be_established"":true,""allowed_new_language"":""LEX-P-FREQ-001"",""presentation_practice_feedback_evaluation_closed"":true}","[""P-ASP-001"",""P-TNS-002"",""P-NEG-001"",""P-Q-006""]","[""L014"",""L016""]","[""CHAR-EMMA"",""CHAR-TARO""]","[""LOC-DIRECT-TEACHING""]",,[],Canonical persistent-world event only when chronology_event is non-null; otherwise direct instruction or noncanonical controlled examples.,"[""SCENE"",""SYMBOLIC""]",PB-O,"[""Wording-changed probe"",""Delayed retrieval probe"",""Composition with established material"",""Cross-domain POINT probe""]","[""C028""]",30,"[""`always/usually/often/sometimes/never`.""]",`always/usually/often/sometimes/never`.
L020,Procedure,WORLD_FRONTIER,"[{""world_id"":""W-EVT-002"",""status"":""NEW""}]","{""point_ids"":[""P-ASP-001""],""status"":""EST""}",[],"[""procedure""]","[""LEX-W-EVT-002""]","[""LEX-W-EVT-001"",""LEX-P-ASP-001"",""LEX-P-TNS-002"",""LEX-P-ID-001"",""LEX-P-DET-002""]","[""P-ASP-001"",""P-TNS-002"",""P-ID-001"",""P-DET-002""]","[""RF-AFFIRM-IDENTITY"",""RF-NEGATE-IDENTITY""]",[],"[""DO-IDENTIFY""]",[],"{""non_frontier_language_must_be_established"":true,""allowed_new_language"":""LEX-W-EVT-002"",""presentation_practice_feedback_evaluation_closed"":true}","[""P-TNS-002"",""P-NEG-001"",""P-Q-006"",""P-FREQ-001""]","[""L014"",""L015"",""L016"",""L000"",""L004""]","[""CHAR-EMMA"",""CHAR-TARO""]","[""LOC-DIRECT-TEACHING""]",,[],Canonical persistent-world event only when chronology_event is non-null; otherwise direct instruction or noncanonical controlled examples.,"[""SEQUENCE""]",PB-O,"[""Wording-changed probe"",""Delayed retrieval probe"",""Composition with established material"",""World-concept probe without frontier wording""]","[""C031"",""C032"",""C172""]",30,"[""Procedure. A task can consist of ordered steps where sequence may affect the result.""]",present progressive `be + -ing`.
L021,"reference, object, and action transfer",TRANSFER,"[{""world_id"":""W-OBJ-003"",""status"":""XFER""},{""world_id"":""W-EVT-001"",""status"":""XFER""},{""world_id"":""W-EVT-002"",""status"":""XFER""}]","{""point_ids"":[""P-Q-003"",""P-DESC-001"",""P-ASP-001"",""P-TNS-002"",""P-NEG-001"",""P-Q-006""],""status"":""XFER""}",[],[],[],"[""LEX-P-Q-003"",""LEX-W-OBJ-003"",""LEX-P-DESC-001"",""LEX-W-EVT-001"",""LEX-P-ASP-001"",""LEX-P-TNS-002"",""LEX-P-NEG-001"",""LEX-P-Q-006"",""LEX-P-FREQ-001"",""LEX-W-EVT-002""]","[""P-Q-003"",""P-DESC-001"",""P-ASP-001"",""P-TNS-002"",""P-NEG-001"",""P-Q-006"",""P-FREQ-001""]","[""RF-YES-NO""]",[],[],[],"{""non_frontier_language_must_be_established"":true,""allowed_new_language"":""NONE"",""presentation_practice_feedback_evaluation_closed"":true}","[""P-Q-003"",""W-OBJ-003"",""P-DESC-001"",""W-EVT-001"",""P-ASP-001"",""P-TNS-002"",""P-NEG-001"",""P-Q-006"",""P-FREQ-001"",""W-EVT-002""]","[""L011"",""L012"",""L013"",""L014"",""L015"",""L016"",""L017"",""L018"",""L019"",""L020""]","[""CHAR-EMMA"",""CHAR-TARO"",""CHAR-ERROL""]","[""LOC-NONCANONICAL-DIAGRAM""]",,[],Noncanonical transfer and retrieval task; no new persistent event.,"[""COMPARISON"",""DIALOGUE"",""DIAGRAM""]",DS,"[""Far transfer"",""Delayed retrieval"",""Multi-item composition"",""No frontier leakage""]","[""C015"",""C010"",""C060"",""C061"",""C062"",""C063"",""C064"",""C065"",""C027"",""C028"",""C029"",""C030"",""C025"",""SYN"",""C024"",""C031"",""C032"",""C172""]",30,"[""Recombine already acquired WORLD and POINT material in a new context.""]",No new POINT; established operators are retrieved and composed.
